Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,168627.45313,169607.84375,162254.90625,163725.48438,163725.48438,644694
2020-01-31,164705.875,168137.25,161764.70313,161764.70313,161764.70313,599712
2020-02-03,158823.53125,164215.6875,156862.75,163235.29688,163235.29688,696279
2020-02-04,164215.6875,166176.46875,161764.70313,164215.6875,164215.6875,728464
2020-02-05,165686.28125,166176.46875,160294.125,161274.51563,161274.51563,668015
2020-02-06,162745.09375,170588.23438,162254.90625,169117.64063,169117.64063,848096
2020-02-07,170098.04688,170588.23438,166666.67188,168137.25,168137.25,439346
2020-02-10,167647.0625,172058.82813,166176.46875,169607.84375,169607.84375,506064
2020-02-11,170588.23438,173039.21875,169117.64063,170098.04688,170098.04688,442073
2020-02-12,170588.23438,171568.625,168627.45313,170588.23438,170588.23438,332800
2020-02-13,172058.82813,177450.98438,172058.82813,175000,175000,1239391
2020-02-14,174509.79688,178431.375,174019.60938,177450.98438,177450.98438,658455
2020-02-17,178921.5625,183823.53125,178921.5625,182352.9375,182352.9375,814230
2020-02-18,183333.32813,183333.32813,178921.5625,180882.35938,180882.35938,561411
2020-02-19,182352.9375,183333.32813,176470.59375,177941.17188,177941.17188,753639
2020-02-20,178431.375,178921.5625,173039.21875,175490.20313,175490.20313,768278
2020-02-21,173039.21875,177450.98438,172549.01563,173529.40625,173529.40625,457755
2020-02-24,169117.64063,171078.4375,165686.28125,165686.28125,165686.28125,784043
2020-02-25,165686.28125,169607.84375,165196.07813,169117.64063,169117.64063,580306
2020-02-26,166666.67188,173529.40625,165686.28125,169607.84375,169607.84375,783295
2020-02-27,170098.04688,171568.625,165686.28125,167156.85938,167156.85938,672032
2020-02-28,164705.875,168137.25,163725.48438,166666.67188,166666.67188,835445
2020-03-02,167156.85938,171568.625,165196.07813,171568.625,171568.625,671305
2020-03-03,175000,175490.20313,168627.45313,169117.64063,169117.64063,668897
2020-03-04,168137.25,171568.625,167647.0625,171078.4375,171078.4375,435569
2020-03-05,173529.40625,178431.375,171078.4375,178431.375,178431.375,926658
2020-03-06,177941.17188,179411.76563,173529.40625,174019.60938,174019.60938,720974
2020-03-09,174019.60938,174019.60938,174019.60938,174019.60938,174019.60938,0
2020-03-10,168627.45313,177450.98438,165686.28125,177450.98438,177450.98438,1228069
2020-03-11,176470.59375,178431.375,169607.84375,171568.625,171568.625,833221
2020-03-12,171568.625,171568.625,171568.625,171568.625,171568.625,0
2020-03-13,161764.70313,170588.23438,153431.375,167156.85938,167156.85938,2273075
2020-03-16,172549.01563,174509.79688,162254.90625,162254.90625,162254.90625,1075373
2020-03-17,154901.95313,167647.0625,154901.95313,164705.875,164705.875,1428199
2020-03-18,164705.875,167647.0625,153921.5625,153921.5625,153921.5625,1239066
2020-03-19,160294.125,161274.51563,135784.3125,137254.90625,137254.90625,2948042
2020-03-20,142647.0625,150000,138235.29688,149509.79688,149509.79688,2059559
2020-03-23,142647.0625,180882.35938,142156.85938,171568.625,171568.625,6819636
2020-03-24,175000,186764.70313,173529.40625,180392.15625,180392.15625,3981784
2020-03-25,187254.90625,187745.09375,174019.60938,179411.76563,179411.76563,2381245
2020-03-26,178431.375,187254.90625,175000,177941.17188,177941.17188,2489890
2020-03-27,184803.92188,186274.51563,175000,180392.15625,180392.15625,1966099
2020-03-30,178431.375,182843.14063,177941.17188,181372.54688,181372.54688,956514
2020-03-31,183823.53125,227941.17188,181862.75,224509.79688,224509.79688,11354628
2020-04-01,229411.76563,231372.54688,194117.64063,194117.64063,194117.64063,5312355
2020-04-02,182352.9375,194607.84375,178431.375,191176.46875,191176.46875,8837923
2020-04-03,187745.09375,212745.09375,187745.09375,192156.85938,192156.85938,4234906
2020-04-06,198529.40625,208333.32813,196568.625,204901.95313,204901.95313,2834568
2020-04-07,204411.76563,210294.125,199019.60938,205882.35938,205882.35938,2250942
2020-04-08,205882.35938,207843.14063,202941.17188,202941.17188,202941.17188,1111905
2020-04-09,207352.9375,212254.90625,204411.76563,206372.54688,206372.54688,1375825
2020-04-10,209803.92188,210784.3125,199019.60938,205392.15625,205392.15625,1776805
2020-04-13,205882.35938,221078.4375,203921.5625,211274.51563,211274.51563,3708222
2020-04-14,215686.28125,216176.46875,207843.14063,211764.70313,211764.70313,1299464
2020-04-16,210294.125,213235.29688,209313.71875,210784.3125,210784.3125,790721
2020-04-17,211274.51563,212254.90625,201470.59375,206862.75,206862.75,1822219
2020-04-20,206372.54688,211764.70313,203921.5625,207843.14063,207843.14063,931630
2020-04-21,208823.53125,213725.48438,202941.17188,207843.14063,207843.14063,1827338
2020-04-22,203921.5625,213235.29688,203921.5625,209803.92188,209803.92188,1146365
2020-04-23,211274.51563,212254.90625,208333.32813,209803.92188,209803.92188,647651
2020-04-24,209313.71875,212745.09375,206372.54688,207352.9375,207352.9375,1098189
2020-04-27,209313.71875,210784.3125,207352.9375,208333.32813,208333.32813,496014
2020-04-28,208333.32813,209803.92188,203921.5625,204901.95313,204901.95313,741230
2020-04-29,204901.95313,206862.75,202941.17188,206372.54688,206372.54688,667570
2020-05-04,203921.5625,206862.75,199509.79688,199509.79688,199509.79688,877573
2020-05-06,200490.20313,203921.5625,196568.625,202941.17188,202941.17188,616066
2020-05-07,201960.78125,202941.17188,199509.79688,200000,200000,410762
2020-05-08,201960.78125,209803.92188,200980.39063,206372.54688,206372.54688,913643
2020-05-11,210784.3125,211274.51563,205882.35938,206372.54688,206372.54688,708948
2020-05-12,207843.14063,213235.29688,206372.54688,206862.75,206862.75,1002578
2020-05-13,206862.75,210784.3125,205882.35938,210784.3125,210784.3125,778645
2020-05-14,210784.3125,212745.09375,207843.14063,212745.09375,212745.09375,978518
2020-05-15,214705.875,217156.85938,210784.3125,213235.29688,213235.29688,844089
2020-05-18,215686.28125,217647.0625,207843.14063,208823.53125,208823.53125,1008763
2020-05-19,208823.53125,210294.125,204901.95313,208823.53125,208823.53125,723235
