Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,130000,130500,126500,127500,125481.53125,1034661
2020-01-31,128500,129500,124500,125000,123021.10938,1035126
2020-02-03,123000,125000,121000,123500,121544.85938,1270442
2020-02-04,123500,126000,122500,124000,122036.94531,1203992
2020-02-05,125000,126000,123500,124000,122036.94531,1032267
2020-02-06,125500,133000,125500,132000,129910.29688,1659774
2020-02-07,130500,131000,127500,131000,128926.125,999598
2020-02-10,129500,132000,129000,130000,127941.95313,669628
2020-02-11,131000,135000,130500,132500,130402.375,949247
2020-02-12,132500,137500,132500,136000,133846.96875,1373302
2020-02-13,137000,137500,133000,133000,130894.46094,1035208
2020-02-14,132500,135000,131500,133500,131386.54688,591584
2020-02-17,133500,136000,132500,135500,133354.89063,555451
2020-02-18,134000,134500,131000,132500,130402.375,744150
2020-02-19,133000,134000,130500,131500,129418.21094,776121
2020-02-20,132500,133000,129000,130000,127941.95313,711858
2020-02-21,128000,129500,127000,128000,125973.61719,686417
2020-02-24,124500,125000,122000,122500,120560.6875,911932
2020-02-25,122500,124500,122000,122500,120560.6875,796176
2020-02-26,121000,124000,120000,122500,120560.6875,1001834
2020-02-27,122500,123500,120000,121000,119084.4375,779402
2020-02-28,118500,119000,114000,115000,113179.42188,1777353
2020-03-02,116000,116000,113000,113500,111703.17188,1183337
2020-03-03,116000,116500,112000,112500,110719,1414986
2020-03-04,112000,114000,112000,113000,111211.08594,1319901
2020-03-05,115500,116000,113000,114000,112195.25,1135241
2020-03-06,113000,113500,110000,110500,108750.66406,1746834
2020-03-09,110500,110500,110500,110500,108750.66406,0
2020-03-10,102500,105000,101000,102000,100385.22656,2491487
2020-03-11,103000,103000,99700,100000,98416.890625,2005654
2020-03-12,100000,100000,100000,100000,98416.890625,0
2020-03-13,86500,90200,83500,87200,85819.523438,4835445
2020-03-16,88300,89500,82900,82900,81587.601563,2674557
2020-03-17,78100,83400,78100,80100,78831.929688,2492208
2020-03-18,80500,81200,73500,73500,72336.414063,2679420
2020-03-19,75000,75900,65100,65900,64856.730469,3138004
2020-03-20,67500,72400,65000,71100,69974.40625,3349914
2020-03-23,67200,71000,66200,68900,67809.234375,2391540
2020-03-24,71500,75800,69800,74800,73615.835938,2856282
2020-03-25,79800,85600,78800,84500,83162.273438,4604452
2020-03-26,85800,90200,82300,84900,83555.9375,3787074
2020-03-27,89700,90000,84500,86400,85032.195313,2513938
2020-03-30,82800,86400,82100,85400,84048.023438,1743720
2020-03-31,87700,88700,86000,88700,87295.78125,2138183
2020-04-01,88500,90100,85300,85400,84048.023438,2139848
2020-04-02,85300,86800,83000,86600,85229.023438,1487243
2020-04-03,86600,87000,85600,86300,84933.773438,1170052
2020-04-06,86500,88800,85900,88800,87394.195313,1688599
2020-04-07,92100,92500,88600,90400,88968.867188,2601711
2020-04-08,89800,91900,88900,90000,88575.203125,1785939
2020-04-09,92300,97900,91100,97100,95562.796875,3787201
2020-04-10,97400,101500,96200,99700,98121.640625,2806785
2020-04-13,98800,99000,97400,97800,96251.71875,1339638
2020-04-14,98600,101500,97700,100000,98416.890625,1582587
2020-04-16,98900,100500,98300,99100,97531.132813,1341452
2020-04-17,101000,103500,100000,100500,98908.976563,1487879
2020-04-20,100000,100500,97100,97600,96054.882813,2142176
2020-04-21,96100,96500,91300,93500,92019.789063,3634142
2020-04-22,90800,95200,89400,92600,91134.039063,3115871
2020-04-23,93700,95100,92100,92400,90937.203125,3196313
2020-04-24,91300,92300,90100,90100,88673.617188,2135488
2020-04-27,90300,92500,90200,91600,90149.867188,1219677
2020-04-28,92500,94400,92200,93200,91724.539063,1448692
2020-04-29,93500,94000,92400,93600,92118.210938,1193284
2020-05-04,91100,92900,90700,91500,90051.453125,1264378
2020-05-06,93300,94200,92600,93200,91724.539063,1039600
2020-05-07,92800,93000,91800,92600,91134.039063,826239
2020-05-08,93000,95400,93000,94500,93003.960938,1749677
2020-05-11,95800,96500,93500,93700,92216.625,1889278
2020-05-12,93200,93800,91100,91900,90445.117188,1259874
2020-05-13,90500,93100,90500,93100,91626.125,966892
2020-05-14,92600,92900,91500,92300,90838.789063,982612
2020-05-15,92000,92700,91200,92300,90838.789063,822472
2020-05-18,92100,92200,91000,91900,90445.117188,741214
2020-05-19,95000,99400,94700,99100,97531.132813,4564370
2020-05-20,98000,98300,96300,97300,95759.632813,1828158
2020-05-21,98600,98700,96600,97200,95661.21875,1471917
2020-05-22,97100,97200,94000,94500,93003.960938,1619476
2020-05-25,94900,96200,94000,96000,94480.210938,1185541
2020-05-26,96000,99500,95500,97800,96251.71875,2006216
2020-05-27,98700,99500,97300,98100,96546.96875,1620664
2020-05-28,99500,99600,96200,97200,95661.21875,1602694
2020-05-29,96300,99200,96300,98000,96448.554688,2010414
2020-06-01,98000,101500,98000,100000,98416.890625,1908428
2020-06-02,99500,103000,98700,102500,100877.3125,2155405
2020-06-03,106000,110000,105500,108500,106782.32813,3118795
2020-06-04,112000,113000,105000,108500,106782.32813,2823041
2020-06-05,108000,112000,106500,111000,109242.75,2128094
2020-06-08,114000,114500,111500,113000,111211.08594,1640392
2020-06-09,114000,115000,110500,112000,110226.91406,1504910
2020-06-10,111000,112000,109000,111500,109734.82813,1377837
2020-06-11,110000,111000,107000,108500,106782.32813,2376313
2020-06-12,101500,105000,101500,103500,101861.47656,1977558
2020-06-15,102000,102500,97000,97000,95464.382813,2022775
2020-06-16,99100,101500,99100,101500,99893.140625,1389765
2020-06-17,100500,101000,98800,100500,98908.976563,1326645
2020-06-18,99100,102000,98400,100000,98416.890625,1155455
2020-06-19,101000,101500,99100,100000,98416.890625,903928
2020-06-22,99100,100000,98500,98500,96940.632813,921187
2020-06-23,99200,101000,98000,98700,97137.46875,1095698
2020-06-24,100000,103500,99800,103000,101369.39844,1813817
2020-06-25,100500,101000,99400,99400,97826.390625,1084453
2020-06-26,100500,101000,99500,100000,98416.890625,670161
2020-06-29,97700,98700,97600,97700,96153.296875,943424
2020-06-30,99100,99300,97700,97700,96153.296875,988987
2020-07-01,98500,99500,98000,98200,96645.382813,640540
2020-07-02,98000,99700,98000,99000,97432.71875,730963
2020-07-03,99900,100500,98600,99200,97629.554688,569575
2020-07-06,99700,102500,98800,101500,99893.140625,1189877
2020-07-07,103000,103500,99200,99200,97629.554688,1379122
2020-07-08,99200,101000,99100,99600,98023.21875,859735
2020-07-09,100000,101000,99600,99600,98023.21875,922604
2020-07-10,99400,99500,98000,98300,96743.804688,1099298
2020-07-13,99200,101500,98500,101500,99893.140625,1376002
2020-07-14,101500,102000,99900,101500,99893.140625,1050563
2020-07-15,104500,110000,104000,109000,107274.40625,4494730
2020-07-16,110500,113000,109000,110000,108258.57813,3254530
2020-07-17,109500,119000,109500,117500,115639.84375,4265529
2020-07-20,119500,125000,118000,121500,119576.52344,4461527
2020-07-21,122000,124500,118000,121500,119576.52344,3138553
2020-07-22,122000,124000,118500,118500,116624.01563,2395083
2020-07-23,118500,125500,116000,124500,122529.02344,4505464
2020-07-24,123500,129000,121500,122500,120560.6875,3908721
2020-07-27,122500,126500,122000,123500,121544.85938,2046059
2020-07-28,124500,126000,122000,123000,121052.77344,1765179
2020-07-29,122500,125500,120000,125000,123021.10938,1897616
2020-07-30,127000,130500,126000,127500,125481.53125,2728427
2020-07-31,128000,129500,125000,126500,124497.36719,1712713
2020-08-03,126500,128500,123500,127000,124989.44531,1868315
2020-08-04,129500,134000,129000,132500,130402.375,2492506
2020-08-05,133000,135500,132000,134000,131878.625,1859551
2020-08-06,136500,146000,136000,144500,142212.40625,4040334
2020-08-07,145500,149500,144500,147000,144672.82813,3208082
2020-08-10,151500,172500,151000,170000,167308.70313,8460795
2020-08-11,171500,180500,164500,179000,176166.23438,6776406
2020-08-12,174000,178500,170500,172000,169277.04688,4877139
2020-08-13,175000,177500,167000,170000,167308.70313,3997431
2020-08-14,171000,172000,161000,167000,164356.20313,4469158
2020-08-18,163500,168000,155500,158000,155498.6875,4328953
2020-08-19,158000,165500,158000,164500,161895.78125,3298626
2020-08-20,163000,165500,154000,155000,152546.17188,3630223
2020-08-21,158000,161500,154000,156000,153530.34375,3348383
2020-08-24,157500,163000,152500,161500,158943.28125,2904566
2020-08-25,167500,171000,165000,166000,163372.03125,3304089
2020-08-26,166500,170000,163000,167500,164848.28125,2638394
2020-08-27,169000,169500,163500,163500,160911.60938,2427108
2020-08-28,165500,176500,164500,172000,169277.04688,5571784
2020-08-31,177500,182000,174500,176500,173705.8125,5275614
2020-09-01,178500,181000,175500,180000,177150.40625,2704194
2020-09-02,178000,178500,173500,176000,173213.71875,2825239
2020-09-03,177500,177500,174000,176500,173705.8125,1841550
2020-09-04,167500,174000,167500,172500,169769.14063,2886867
2020-09-07,172500,173000,169000,170000,167308.70313,1516649
2020-09-08,171000,172500,168000,168000,165340.375,1933504
2020-09-09,166500,172000,165500,167500,164848.28125,1685225
2020-09-10,170500,171500,168000,169000,166324.54688,1326177
2020-09-11,167500,171500,167500,171500,168784.96875,1538378
2020-09-14,174500,180000,174000,180000,177150.40625,3145262
2020-09-15,184000,185000,178500,179000,176166.23438,2644009
2020-09-16,179500,186000,177000,183500,180594.98438,3401835
2020-09-17,185500,191500,183000,184000,181087.07813,4383978
2020-09-18,184000,186000,179000,181000,178134.5625,2584103
2020-09-21,181000,188500,180500,185000,182071.25,3133848
2020-09-22,185000,186000,178000,179500,176658.3125,3042046
2020-09-23,183000,183000,170000,179500,176658.3125,3481682
2020-09-24,173500,176000,171000,171500,168784.96875,2841908
2020-09-25,172500,174000,166000,170000,167308.70313,2076987
2020-09-28,173000,176000,172000,175500,172721.64063,1374871
2020-09-29,178500,180000,177500,178500,175674.14063,1475249
2020-10-05,183000,187500,181500,187000,184039.57813,2732820
2020-10-06,188000,188500,181500,182500,179610.82813,2143171
2020-10-07,180000,183500,178500,183000,180102.90625,1512423
2020-10-08,185500,186000,180000,180500,177642.48438,1750474
2020-10-12,178000,181500,176000,180000,177150.40625,1655359
2020-10-13,181000,181500,176000,179000,176166.23438,1728432
2020-10-14,181000,183500,177000,178000,175182.0625,1930046
2020-10-15,177000,178500,175000,176000,173213.71875,1587551
2020-10-16,176500,177500,169000,172000,169277.04688,3197258
2020-10-19,169500,172000,167500,168000,165340.375,2230634
2020-10-20,157000,168500,156500,167500,164848.28125,5697398
2020-10-21,167000,167500,163500,165500,162879.95313,1760669
2020-10-22,163000,163500,161000,162500,159927.4375,1700524
2020-10-23,163500,168000,163000,167000,164356.20313,1883932
2020-10-26,167000,174000,164000,171500,168784.96875,3018359
2020-10-27,173000,178000,171000,172500,169769.14063,3317704
2020-10-28,172000,174000,169500,173500,170753.29688,1419988
2020-10-29,169000,171000,168000,170000,167308.70313,1484537
2020-10-30,169000,169500,164500,164500,161895.78125,1452259
2020-11-02,166000,170500,166000,170500,167800.79688,1052301
2020-11-03,171000,172000,169000,170500,167800.79688,1006364
2020-11-04,173000,175000,170500,171500,168784.96875,1699252
2020-11-05,173500,175000,172500,175000,172229.5625,1299430
2020-11-06,176500,177000,169500,170500,167800.79688,2233192
2020-11-09,172500,174500,172000,172500,169769.14063,1521010
2020-11-10,174500,174500,172000,173500,170753.29688,1796342
2020-11-11,174500,179000,173000,175500,172721.64063,4140745
2020-11-12,175500,177000,173000,174000,171245.39063,1965154
2020-11-13,174000,178500,173500,177500,174689.98438,2405777
2020-11-16,182500,183500,177500,179000,176166.23438,2752922
2020-11-17,179500,185000,178000,182500,179610.82813,3429139
2020-11-18,183500,185500,179000,179500,176658.3125,2228657
2020-11-19,179000,181500,177500,180000,177150.40625,1379907
2020-11-20,179000,179500,177000,177000,174197.89063,1309560
2020-11-23,175000,179500,175000,179000,176166.23438,1494870
2020-11-24,181000,183000,179500,181000,178134.5625,1522580
2020-11-25,183500,184000,178000,179500,176658.3125,2082764
2020-11-26,179500,181000,178000,179000,176166.23438,1260429
2020-11-27,179000,181000,178000,181000,178134.5625,1033868
2020-11-30,181500,188500,181500,181500,178626.65625,3981271
2020-12-01,183000,184500,179500,183500,180594.98438,1792800
2020-12-02,183500,184500,181500,182500,179610.82813,1745795
2020-12-03,183500,196500,182000,196500,193389.1875,6053809
2020-12-04,198000,199000,195000,196500,193389.1875,3224702
2020-12-07,195500,198500,190500,193500,190436.67188,2519339
2020-12-08,191000,192000,186000,186500,183547.5,3181249
