Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,8990,9010,8830,8840,8840,50420
2020-09-04,8770,8770,8620,8680,8680,50024
2020-09-07,8680,8860,8680,8740,8740,37808
2020-09-08,8840,8840,8700,8720,8720,27257
2020-09-09,8700,8700,8570,8600,8600,42491
2020-09-10,8730,8730,8570,8580,8580,27324
2020-09-11,8600,8670,8510,8640,8640,48104
2020-09-14,8640,8690,8580,8640,8640,40937
2020-09-15,8650,8660,8590,8640,8640,27837
2020-09-16,8640,8660,8550,8600,8600,44220
2020-09-17,8600,8680,8470,8530,8530,33261
2020-09-18,8570,8900,8520,8550,8550,82243
2020-09-21,8520,8590,8350,8440,8440,41702
2020-09-22,8410,8410,8190,8280,8280,39297
2020-09-23,8290,8350,8130,8300,8300,15848
2020-09-24,8170,8240,8060,8140,8140,33161
2020-09-25,8150,8230,8110,8150,8150,15647
2020-09-28,8150,8330,8150,8260,8260,7517
2020-09-29,8330,8430,8320,8400,8400,20645
2020-10-05,8420,8500,8330,8500,8500,22840
2020-10-06,8520,8650,8480,8600,8600,33561
2020-10-07,8550,8630,8500,8580,8580,18873
2020-10-08,8610,8730,8610,8670,8670,42898
2020-10-12,8670,8730,8610,8650,8650,22610
2020-10-13,8670,8730,8620,8650,8650,18939
2020-10-14,8630,8680,8520,8580,8580,25962
2020-10-15,8580,8580,8450,8500,8500,23829
2020-10-16,8500,8570,8400,8480,8480,32432
2020-10-19,8480,8620,8480,8590,8590,13997
2020-10-20,8590,8610,8400,8500,8500,38593
2020-10-21,8560,9020,8500,8950,8950,174694
2020-10-22,8900,9270,8890,9250,9250,167996
2020-10-23,9250,9480,9050,9140,9140,142533
2020-10-26,9130,9130,8850,8880,8880,56568
2020-10-27,8700,8920,8660,8900,8900,26488
2020-10-28,8820,9020,8820,9020,9020,31126
2020-10-29,8930,8960,8730,8900,8900,48738
2020-10-30,8900,8930,8770,8850,8850,24544
2020-11-02,8810,8920,8710,8920,8920,20874
2020-11-03,8920,9150,8910,9130,9130,25204
2020-11-04,9150,9150,8950,9100,9100,41743
2020-11-05,9080,9120,8990,9060,9060,57664
2020-11-06,9080,9090,8990,9040,9040,58234
2020-11-09,9010,9210,9000,9140,9140,80160
2020-11-10,9180,9320,9130,9240,9240,106609
2020-11-11,9250,9480,9150,9450,9450,150092
2020-11-12,9460,9490,9270,9440,9440,99764
2020-11-13,9400,9660,9320,9640,9640,112283
2020-11-16,9740,10200,9540,9920,9920,544005
2020-11-17,9970,10100,9740,9860,9860,126243
2020-11-18,9880,9930,9600,9680,9680,98370
2020-11-19,9680,9680,9480,9600,9600,56090
2020-11-20,9580,9870,9560,9620,9620,54197
2020-11-23,9610,9780,9480,9740,9740,57762
2020-11-24,9750,9880,9730,9830,9830,55088
2020-11-25,9840,10200,9780,9930,9930,131710
2020-11-26,9880,9960,9810,9940,9940,28691
2020-11-27,9950,10050,9850,10000,10000,46159
2020-11-30,10000,10000,9710,9750,9750,51679
2020-12-01,9780,9910,9720,9890,9890,30926
2020-12-02,9930,9970,9830,9890,9890,20601
2020-12-03,9910,9910,9250,9850,9850,39220
2020-12-04,9850,10050,9760,9910,9910,63613
2020-12-07,9930,9970,9720,9810,9810,37927
2020-12-08,9830,9830,9580,9620,9620,47379
2020-12-09,9630,9760,9620,9710,9710,26661
2020-12-10,9700,9710,9600,9690,9690,28182
2020-12-11,9660,9810,9600,9750,9750,52720
2020-12-14,9690,9690,9560,9610,9610,44464
2020-12-15,9640,9650,9490,9540,9540,39637
2020-12-16,9560,9620,9500,9580,9580,35512
2020-12-17,9580,9590,9450,9530,9530,33496
2020-12-18,9540,9550,9460,9540,9540,31792
2020-12-21,9540,9600,9430,9560,9560,50896
2020-12-22,9560,9560,9360,9380,9380,111127
2020-12-23,9380,9510,9350,9450,9450,46447
2020-12-24,9450,9560,9430,9530,9530,53054
2020-12-28,9550,9650,9520,9530,9530,92955
2020-12-29,9200,9270,9140,9190,9190,60124
2020-12-30,9190,9250,9150,9220,9220,43815
2021-01-04,9260,9260,9110,9140,9140,43258
2021-01-05,9140,9170,9030,9100,9100,55838
2021-01-06,9130,9990,9130,9400,9400,229987
2021-01-07,9550,9550,9420,9500,9500,101385
2021-01-08,9520,9570,9410,9510,9510,107557
2021-01-11,9540,10150,9530,9690,9690,392424
2021-01-12,9850,9850,9500,9670,9670,122235
2021-01-13,9710,9760,9620,9740,9740,51655
2021-01-14,9760,9780,9650,9780,9780,51938
2021-01-15,9780,9830,9520,9570,9570,85835
2021-01-18,9560,9570,9310,9330,9330,74200
2021-01-19,9330,9570,9300,9330,9330,100663
2021-01-20,9360,9430,9230,9290,9290,62341
2021-01-21,9310,9480,9260,9480,9480,80123
2021-01-22,9360,9770,9360,9650,9650,130539
2021-01-25,9740,10150,9710,10100,10100,236594
2021-01-26,10100,10500,10100,10350,10350,142671
2021-01-27,10500,10550,10050,10100,10100,145254
2021-01-28,9910,9910,9460,9530,9530,201397
2021-01-29,9550,9600,9150,9260,9260,140327
2021-02-01,9200,9480,9100,9380,9380,81355
2021-02-02,9460,9810,9460,9700,9700,105755
2021-02-03,9850,10200,9800,9990,9990,170966
2021-02-04,10100,10200,9940,10150,10150,133504
2021-02-05,10200,10800,10150,10650,10650,251300
