Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6300,7100,6300,7000,1619.266357,56800
2000-01-05,6700,7100,6610,6700,1549.868774,52100
2000-01-06,7000,7000,6250,6300,1457.339844,64900
2000-01-07,6350,6600,6300,6370,1473.532349,61800
2000-01-10,6610,6700,6300,6500,1503.603882,56100
2000-01-11,6300,6550,6250,6310,1459.652832,41900
2000-01-12,6300,6410,6110,6110,1413.387939,30400
2000-01-13,6270,6270,6100,6250,1445.773193,56800
2000-01-14,6300,6400,5920,5920,1369.436401,25500
2000-01-17,6000,6200,5900,5950,1376.376221,34700
2000-01-18,6150,6150,5600,5700,1318.545166,26500
2000-01-19,5690,5690,5100,5160,1193.630493,66600
2000-01-20,5000,5250,4910,5100,1179.750977,55500
2000-01-21,5110,5340,4900,5020,1161.245117,46100
2000-01-24,4900,5200,4900,5010,1158.931885,30900
2000-01-25,5000,5200,5000,5060,1170.498291,58200
2000-01-26,5200,5700,5070,5300,1226.015747,102300
2000-01-27,5490,6090,5300,6080,1406.447998,139400
2000-01-28,6300,6400,6000,6200,1434.207031,162200
2000-01-31,6010,6800,6010,6540,1512.857178,137700
2000-02-01,6940,6940,6450,6600,1526.736938,168400
2000-02-02,6660,6950,6500,6600,1526.736938,80400
2000-02-03,6500,6770,6500,6690,1547.555664,94100
2000-02-07,6900,6900,6600,6600,1526.736938,111800
2000-02-08,6530,6750,6400,6400,1480.471924,99200
2000-02-09,6050,6550,6050,6160,1424.954102,65500
2000-02-10,5850,6200,5510,5800,1341.677612,71200
2000-02-11,6000,6000,5630,5660,1309.292236,62000
2000-02-14,5660,5800,5500,5550,1283.846558,55800
2000-02-15,5600,6380,5550,5800,1341.677612,83300
2000-02-16,5850,6160,5550,5550,1283.846558,59000
2000-02-17,5720,5940,5610,5700,1318.545166,46700
2000-02-18,5560,5720,5550,5590,1293.099609,78100
2000-02-21,5390,5500,5310,5450,1260.714355,51800
2000-02-22,5400,5700,5300,5500,1272.280396,61900
2000-02-23,5800,6320,5610,6210,1436.52002,111000
2000-02-24,5900,6190,5730,5800,1341.677612,71800
2000-02-25,5890,5980,5530,5730,1325.484985,56000
2000-02-28,5610,5670,5450,5500,1272.280396,61300
2000-02-29,5520,5890,5520,5620,1300.039429,70600
2000-03-02,5550,5700,5400,5600,1295.412842,95300
2000-03-03,5620,5620,5350,5400,1249.147949,83400
2000-03-06,5430,5770,5200,5600,1295.412842,165500
2000-03-07,5530,5960,5480,5640,1304.665894,106500
2000-03-08,5600,5970,5510,5790,1339.36438,130500
2000-03-09,5650,5780,5560,5590,1293.099609,142800
2000-03-10,5310,5700,5310,5500,1272.280396,117000
2000-03-13,5740,5740,5400,5400,1249.147949,70200
2000-03-14,5230,5550,5230,5330,1232.9552,118700
2000-03-15,5510,5800,5420,5580,1290.786255,216800
2000-03-16,5690,5800,5450,5480,1267.654053,122800
2000-03-17,5800,6150,5550,5950,1376.376221,163900
2000-03-20,5610,6010,5610,5700,1318.545166,77000
2000-03-21,5510,5900,5510,5600,1295.412842,59600
2000-03-22,5850,6250,5800,6150,1422.640991,164700
2000-03-23,6100,6430,5850,6240,1443.459961,149500
2000-03-24,6340,6450,6100,6450,1492.038208,117600
2000-03-27,6590,7380,6550,7300,1688.663208,205600
2000-03-28,7400,7400,6700,6910,1598.447021,187800
2000-03-29,6910,6970,6300,6400,1480.471924,197900
2000-03-30,5440,5690,5440,5440,1643.626221,148800
2000-03-31,5010,5240,4630,4700,1420.044678,266100
2000-04-03,4500,4700,3995,3995,1207.037842,175100
2000-04-04,4040,4170,3675,3920,1184.377441,192400
2000-04-06,3810,3930,3600,3600,1087.693481,78400
2000-04-07,3500,3705,3450,3650,1102.800415,148100
2000-04-10,3410,4100,3410,3780,1142.078247,125700
2000-04-11,3660,3940,3560,3560,1075.608154,65300
2000-04-12,3615,3750,3560,3615,1092.225586,68000
2000-04-14,3600,3800,3600,3800,1148.121094,59200
2000-04-17,3250,3490,3230,3230,975.90271,66200
2000-04-18,3330,3520,3155,3230,975.90271,64600
2000-04-19,3255,3350,3150,3160,954.753235,92400
2000-04-20,3100,3140,2980,3050,921.518127,57800
2000-04-21,3070,3140,3010,3050,921.518127,56700
2000-04-24,3025,3060,2950,2990,903.390015,60700
2000-04-25,2850,2900,2750,2800,845.983704,55000
2000-04-26,2950,2950,2500,2500,755.342834,97400
2000-04-27,2400,2680,2400,2660,803.684753,113500
2000-04-28,2540,3050,2540,2920,882.240479,144300
2000-05-02,2900,3130,2800,2945,889.793823,79800
2000-05-03,2900,3100,2850,2995,904.900696,57900
2000-05-04,3030,3075,2950,2970,897.347168,46000
2000-05-08,3010,3020,2900,2920,882.240479,53900
2000-05-10,2705,2860,2700,2780,839.941284,80300
2000-05-12,2800,3000,2800,2950,891.304504,133600
2000-05-15,2870,3000,2805,2850,861.090759,43200
