Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,163000,165500,160500,162000,162000,418908
2020-01-31,162500,164000,158500,159000,159000,346067
2020-02-03,156000,160500,156000,159500,159500,423907
2020-02-04,161500,165500,160500,164500,164500,394773
2020-02-05,166500,167000,161500,163000,163000,456954
2020-02-06,165500,168000,163500,166000,166000,552044
2020-02-07,167000,170500,166000,167500,167500,522100
2020-02-10,167500,169500,166000,169000,169000,375209
2020-02-11,169000,170000,168000,170000,170000,307120
2020-02-12,169500,172000,168000,172000,172000,407917
2020-02-13,174500,181500,173500,179000,179000,1877980
2020-02-14,181000,184500,179000,180000,180000,948085
2020-02-17,180000,182000,179000,180500,180500,329408
2020-02-18,180500,183500,179000,182000,182000,587253
2020-02-19,184000,190500,183500,190000,190000,1362998
2020-02-20,190500,191500,188000,190500,190500,547405
2020-02-21,188500,191500,187500,189500,189500,558497
2020-02-24,184500,186000,182000,183500,183500,792733
2020-02-25,182000,186000,180000,185500,185500,596763
2020-02-26,183500,185500,181500,184000,184000,516378
2020-02-27,184000,185500,176500,178500,178500,785062
2020-02-28,174500,176500,170500,172000,172000,1022917
2020-03-02,174500,176500,169500,175000,175000,793495
2020-03-03,180500,181000,175000,175000,175000,629017
2020-03-04,174000,181000,174000,179500,179500,709188
2020-03-05,182500,183000,176500,179500,179500,821744
2020-03-06,176500,178500,174000,175500,175500,568424
2020-03-09,175500,175500,175500,175500,175500,0
2020-03-10,164500,174500,164000,173000,173000,950875
2020-03-11,172000,174500,167000,169000,169000,550227
2020-03-12,167000,169000,158500,161000,161000,1218070
2020-03-13,150000,161500,145000,159000,159000,1601985
2020-03-16,162000,164000,147500,147500,147500,1252484
2020-03-17,141000,150500,140000,147500,147500,1221046
2020-03-18,148500,152000,140500,141000,141000,1107527
2020-03-19,145500,147000,127500,134000,134000,2157141
2020-03-20,138000,151000,134500,149500,149500,1765756
2020-03-23,138000,148000,137500,143500,143500,1569378
2020-03-24,150500,155000,147000,154500,154500,1271387
2020-03-25,160500,162500,151000,154500,154500,1290376
2020-03-26,155000,156000,150000,150500,150500,893688
2020-03-27,156500,157000,149000,152500,152500,958988
2020-03-30,149500,154500,147500,153000,153000,668254
2020-03-31,155000,159000,152000,155500,155500,1042474
2020-04-01,156000,158500,150000,150500,150500,794295
2020-04-02,152000,157000,149000,157000,157000,1043790
2020-04-03,158500,159000,155000,157500,157500,545749
2020-04-06,158500,161000,157500,160500,160500,807805
2020-04-07,163500,164500,158500,160000,160000,920798
2020-04-08,159000,160500,158000,158000,158000,738303
2020-04-09,161000,161000,157500,158000,158000,726920
2020-04-10,158500,161500,157000,161000,161000,753323
2020-04-13,161000,161000,157000,157500,157500,470251
2020-04-14,159500,160500,158000,159500,159500,430759
2020-04-16,159000,167000,158500,165500,165500,1005533
2020-04-17,169000,172500,167500,172000,172000,947794
2020-04-20,172500,179000,172000,175000,175000,859303
2020-04-21,176500,177500,168500,175500,175500,1232126
2020-04-22,174000,177000,171500,177000,177000,686146
2020-04-23,181500,186500,180500,185500,185500,1509799
2020-04-24,184500,188500,182000,183000,183000,1073684
2020-04-27,183000,187000,181500,184000,184000,721963
2020-04-28,185500,186500,181500,185000,185000,668638
2020-04-29,184000,186500,182500,184000,184000,659512
2020-05-04,181500,190000,180000,186500,186500,1019409
2020-05-06,189000,200000,188000,199500,199500,2035947
2020-05-07,199500,207500,198500,206000,206000,2629709
2020-05-08,206500,210000,204000,206000,206000,1405404
2020-05-11,207000,211500,206500,207500,207500,1048413
2020-05-12,209000,216500,206000,214500,214500,1563095
2020-05-13,211500,216500,211500,216500,216500,1113608
2020-05-14,216000,228000,214000,225000,225000,1459813
2020-05-15,228500,231500,216000,221500,221500,1524083
2020-05-18,221500,225500,218500,221000,221000,744533
2020-05-19,221500,222500,214000,220000,220000,1308903
2020-05-20,223500,234500,222000,231500,231500,1773960
2020-05-21,237500,240000,234500,237500,237500,1408737
2020-05-22,237500,248500,235000,247000,247000,1887064
2020-05-25,251000,270000,249000,268000,268000,2653776
2020-05-26,273500,279500,261000,270000,270000,3274293
2020-05-27,262000,267000,257000,260500,260500,2015974
2020-05-28,257500,270000,252500,267000,267000,2495048
2020-05-29,263500,267500,257500,263500,263500,1645822
2020-06-01,263500,266000,259500,264000,264000,1083698
2020-06-02,262500,263000,257000,259500,259500,978846
2020-06-03,259500,261500,247500,249500,249500,2302391
2020-06-04,247500,257000,247000,254000,254000,1228950
2020-06-05,253000,253500,247500,251000,251000,1007264
2020-06-08,252500,258000,248500,256500,256500,1417078
2020-06-09,255500,259500,252500,254500,254500,834862
2020-06-10,256500,263500,256500,262000,262000,1575452
2020-06-11,264000,268000,261000,265000,265000,1724551
2020-06-12,256500,268000,256000,266000,266000,1688975
2020-06-15,266000,271000,250000,252500,252500,1549230
2020-06-16,260500,263000,258000,263000,263000,915456
2020-06-17,261500,268000,258000,263000,263000,1162204
2020-06-18,264500,267000,260500,263500,263500,981144
2020-06-19,267500,269500,262000,263500,263500,920126
2020-06-22,263500,276000,260500,274000,274000,2008656
2020-06-23,279000,289000,277000,281500,281500,2166267
2020-06-24,281500,284000,275000,282500,282500,1081233
2020-06-25,278500,282000,273500,274500,274500,900258
2020-06-26,279500,280000,268000,274500,274500,812726
2020-06-29,269000,273500,266000,267500,267500,778818
2020-06-30,272000,273000,267500,267500,267500,624089
2020-07-01,271500,275000,267500,269500,269500,578023
2020-07-02,273500,285500,273000,285500,285500,1378545
2020-07-03,289500,297000,284000,294000,294000,1604493
2020-07-06,298000,307500,297000,300500,300500,1344851
2020-07-07,306500,318000,304000,310500,310500,1552820
2020-07-08,312000,328000,305000,328000,328000,1869663
2020-07-09,335000,355500,332000,355500,355500,2463503
2020-07-10,351000,368000,345500,355500,355500,2566935
2020-07-13,359000,361000,345000,352000,352000,1391744
2020-07-14,340500,346500,340000,343000,343000,1212519
2020-07-15,344000,349500,332000,337500,337500,1487417
2020-07-16,332000,335500,319000,322000,322000,1941508
2020-07-17,319000,327000,314000,325000,325000,1268587
2020-07-20,325000,325000,310000,310000,310000,1534422
2020-07-21,323500,326000,311500,316000,316000,1676630
2020-07-22,310500,321500,306000,318000,318000,1159298
2020-07-23,316500,329500,315000,329500,329500,1260435
2020-07-24,325000,333000,322000,324500,324500,907643
2020-07-27,321000,329500,320500,326500,326500,603322
2020-07-28,332000,336000,328500,329500,329500,873063
2020-07-29,329000,333000,325000,331500,331500,618435
2020-07-30,336000,337000,331500,332000,332000,615872
2020-07-31,336000,344000,335500,343500,343500,1078837
2020-08-03,347500,366000,347000,366000,366000,1636803
2020-08-04,378500,384000,361000,370000,370000,1714642
2020-08-05,366000,371000,362500,370500,370500,1075879
2020-08-06,358500,372500,357500,364000,364000,1848898
2020-08-07,368000,370000,350500,353000,353000,1899111
2020-08-10,346000,358500,341500,356000,356000,1086391
2020-08-11,351500,357000,347500,352500,352500,750285
2020-08-12,348500,356500,347500,354000,354000,729434
2020-08-13,359000,365000,356500,360500,360500,1117859
2020-08-14,361000,366000,358000,362500,362500,825802
2020-08-18,371500,389500,367500,378000,378000,3032037
2020-08-19,384500,385000,372000,376500,376500,1359266
2020-08-20,376000,383000,359500,364500,364500,1686740
2020-08-21,370000,373500,362000,370000,370000,1021460
2020-08-24,374500,382500,367500,380000,380000,969648
2020-08-25,384500,385000,377000,381000,381000,887733
2020-08-26,380500,394000,378000,392000,392000,1351029
2020-08-27,396500,413000,396000,410500,410500,1981840
2020-08-28,413500,416000,400000,405500,405500,1506996
2020-08-31,410500,420500,401000,407000,407000,1629751
2020-09-01,413500,416000,400000,401500,401500,1100736
2020-09-02,405500,412500,401500,412000,412000,921655
2020-09-03,415500,416000,404000,410000,410000,739215
2020-09-04,390000,404500,389500,402000,402000,1168529
2020-09-07,401500,401500,391000,392000,392000,928939
2020-09-08,393500,398500,380500,390000,390000,1020539
2020-09-09,381500,388000,379000,384000,384000,935573
2020-09-10,392000,396500,384000,385500,385500,936708
2020-09-11,382000,384000,375500,379000,379000,792840
2020-09-14,377000,378000,369000,373500,373500,830231
2020-09-15,371000,385000,369000,381000,381000,860038
2020-09-16,384000,384500,377000,377000,377000,485743
2020-09-17,373500,374000,369000,371000,371000,617702
2020-09-18,369000,377000,366000,373000,373000,495271
2020-09-21,371500,374000,364000,364500,364500,530255
2020-09-22,361000,369000,351000,353000,353000,880318
2020-09-23,358500,367000,353000,365500,365500,930394
2020-09-24,361000,361500,351000,352000,352000,763638
2020-09-25,356000,358000,346500,351500,351500,449701
2020-09-28,356500,372000,354000,369000,369000,674705
2020-09-29,374500,375000,364000,364500,364500,612054
2020-10-05,360500,370500,358000,370500,370500,522228
2020-10-06,373500,383500,370000,381500,381500,765339
2020-10-07,378000,381500,376000,380500,380500,398285
2020-10-08,383500,387000,379000,379000,379000,624658
2020-10-12,383000,383000,371000,371500,371500,471624
2020-10-13,374000,377000,371500,372000,372000,302317
2020-10-14,370000,375000,366000,368500,368500,333008
2020-10-15,368000,368500,360000,362000,362000,422566
2020-10-16,361000,362000,355000,357500,357500,400405
2020-10-19,358000,362500,352000,353000,353000,362402
2020-10-20,348000,353000,340000,352500,352500,759973
2020-10-21,351000,361000,351000,353500,353500,516282
2020-10-22,351500,352000,345500,349000,349000,376380
2020-10-23,348500,350000,340000,340000,340000,622592
2020-10-26,337000,341000,328000,329500,329500,714722
2020-10-27,324500,343500,324500,334000,334000,812610
2020-10-28,335500,346500,335000,346500,346500,629567
2020-10-29,342000,345500,338500,343000,343000,491546
2020-10-30,343000,344000,330000,330000,330000,553748
2020-11-02,330500,335500,328000,334500,334500,319856
2020-11-03,334500,339000,332000,336500,336500,403786
2020-11-04,340500,361000,340000,359500,359500,1431026
2020-11-05,359000,368500,353000,363000,363000,1061367
2020-11-06,367000,380500,365500,370500,370500,1315572
2020-11-09,375000,376000,367500,371500,371500,593735
2020-11-10,357500,361500,354000,356000,356000,1105100
2020-11-11,351500,358500,347500,355500,355500,713843
2020-11-12,360000,364500,355000,357500,357500,555279
2020-11-13,355000,366000,355000,365500,365500,538206
2020-11-16,371000,371500,359500,362000,362000,557987
2020-11-17,358000,365000,356000,362000,362000,452275
2020-11-18,360000,368500,359500,365500,365500,484493
2020-11-19,367500,371500,365500,365500,365500,430120
2020-11-20,366500,368000,362000,365500,365500,267266
2020-11-23,368500,369000,365000,367000,367000,363196
2020-11-24,366500,377000,366500,373000,373000,649755
2020-11-25,377500,377500,366000,367000,367000,703279
2020-11-26,367500,374500,366500,374000,374000,539570
2020-11-27,375500,377500,371000,373000,373000,335836
2020-11-30,373000,374000,368000,368000,368000,544990
2020-12-01,369500,375000,369000,374500,374500,452723
2020-12-02,375500,375500,371000,373000,373000,440500
2020-12-03,373000,374000,369000,374000,374000,464371
2020-12-04,374000,392500,371000,389500,389500,1561745
2020-12-07,395000,395000,380500,385000,385000,894743
2020-12-08,387500,388000,374000,374500,374500,768600
2020-12-09,375000,378000,373000,375000,375000,579905
2020-12-10,371000,378000,367500,370500,370500,818557
2020-12-11,374000,380000,373000,374500,374500,438405
2020-12-14,376500,381000,372500,373500,373500,480288
2020-12-15,373500,375500,369000,371000,371000,393157
2020-12-16,373500,375000,371000,372000,372000,269253
2020-12-17,374000,374000,368500,369000,369000,455131
2020-12-18,369000,369500,365500,367000,367000,427433
2020-12-21,367000,380000,367000,379500,379500,819879
2020-12-22,380000,389500,375500,376000,376000,876516
2020-12-23,381000,385500,377000,377500,377500,629952
2020-12-24,378500,380000,372000,374000,374000,465132
2020-12-28,374500,377000,369500,373000,373000,646464
2020-12-29,381000,385500,378000,384500,384500,857404
2020-12-30,384500,394000,383500,389500,389500,813142
2021-01-04,392000,396500,385500,396000,396000,853740
2021-01-05,393000,395500,387000,393000,393000,748559
2021-01-06,395000,410000,394500,395500,395500,1435715
2021-01-07,402000,403500,393000,402500,402500,775191
2021-01-08,413000,436000,404500,434000,434000,2466715
2021-01-11,441000,463000,429000,453000,453000,3157747
2021-01-12,446000,460000,433000,457500,457500,1577872
2021-01-13,458500,462000,449500,454500,454500,806402
2021-01-14,454000,463000,450000,451500,451500,802076
2021-01-15,452000,459000,436500,437500,437500,995726
2021-01-18,433500,441500,427000,427500,427500,839984
2021-01-19,428000,444500,428000,440000,440000,583997
2021-01-20,448000,450000,437000,444000,444000,596340
2021-01-21,452500,461000,452000,454000,454000,679093
2021-01-22,456000,476000,452500,463000,463000,1162395
2021-01-25,472000,475500,460000,473500,473500,720170
2021-01-26,479000,479000,460500,461000,461000,812266
2021-01-27,463000,477000,461000,465000,465000,719814
2021-01-28,454000,468500,452000,458000,458000,921812
2021-01-29,460000,460500,436000,441000,441000,1070093
2021-02-01,436000,443000,425000,441500,441500,904818
