Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,42450,42750,41650,41950,41282.007813,1030375
2020-01-31,41900,42350,40900,40900,40248.726563,1349571
2020-02-03,40200,40550,39100,40100,39461.464844,1428913
2020-02-04,40900,41150,40150,40250,39609.078125,1122184
2020-02-05,39950,40200,39350,39400,38772.613281,1554328
2020-02-06,39750,41700,39250,41300,40642.355469,1405887
2020-02-07,40550,40750,40200,40500,39855.097656,1054261
2020-02-10,40100,40850,39900,40650,40002.707031,701557
2020-02-11,41100,42050,40900,41350,40691.5625,1141865
2020-02-12,40950,41900,40800,41650,40986.785156,1012598
2020-02-13,41750,42250,41200,41250,40593.152344,951609
2020-02-14,41000,42300,40650,41650,40986.785156,984696
2020-02-17,41500,41650,41200,41450,40789.96875,776081
2020-02-18,41150,41900,40900,41350,40691.5625,809542
2020-02-19,41500,41650,41050,41300,40642.355469,818025
2020-02-20,41250,41500,40500,40550,39904.300781,1144520
2020-02-21,40100,40750,40000,40050,39412.261719,971041
2020-02-24,39050,39450,38150,38600,37985.351563,1185870
2020-02-25,38300,39100,37950,38150,37542.515625,1407263
2020-02-26,37650,38650,37200,38150,37542.515625,1168647
2020-02-27,37600,38150,37500,37700,37099.683594,1053667
2020-02-28,37500,37600,36000,36250,35672.769531,1633356
2020-03-02,35200,36700,34500,34500,33950.636719,2981038
2020-03-03,35900,35950,34750,34900,34344.269531,1411743
2020-03-04,35150,36250,34900,35750,35180.734375,1614490
2020-03-05,35800,36300,35500,35900,35328.34375,963826
2020-03-06,35650,35650,34500,34650,34098.25,1357464
2020-03-09,34650,34650,34650,34650,34098.25,0
2020-03-10,32650,32950,31950,31950,31441.242188,1625705
2020-03-11,32000,32900,31500,31800,31293.630859,1512601
2020-03-12,31800,31800,31800,31800,31293.630859,0
2020-03-13,27500,29850,26500,28850,28390.605469,2777060
2020-03-16,28900,29650,27050,27100,26668.470703,1862674
2020-03-17,24950,26550,24900,25350,24946.337891,2682844
2020-03-18,25650,25700,24600,25300,24897.134766,2019043
2020-03-19,25550,25950,22300,22550,22190.923828,2305074
2020-03-20,22750,24400,21750,24150,23765.445313,3015123
2020-03-23,22500,23000,21500,21500,21157.642578,2365341
2020-03-24,22300,23100,21650,23100,22732.166016,2947942
2020-03-25,24700,25450,23750,25150,24749.523438,5010440
2020-03-26,25700,26300,24600,25050,24651.115234,3897513
2020-03-27,26450,26700,25000,25500,25093.949219,2820545
2020-03-30,24650,25400,24200,24950,24552.707031,1986835
2020-03-31,25450,26100,25300,26000,25585.988281,2219339
2020-04-01,26050,27000,25500,25550,25143.152344,2170012
2020-04-02,25500,26050,24900,25800,25389.171875,1658336
2020-04-03,25400,25900,25200,25400,24995.541016,1461529
2020-04-06,25750,27000,25550,26800,26373.248047,1721874
2020-04-07,28150,28550,27500,28250,27800.160156,2680220
2020-04-08,28350,29300,27700,28250,27800.160156,2550320
2020-04-09,29350,30400,28750,30150,29669.904297,3167177
2020-04-10,30550,31800,30150,31000,30506.369141,2293372
2020-04-13,30250,30300,29500,29500,29030.255859,2007475
2020-04-14,30050,30350,29550,29850,29374.681641,1717972
2020-04-16,29050,29400,28700,29000,28538.216797,2289317
2020-04-17,29550,30300,29500,29900,29423.884766,1965039
2020-04-20,29950,30100,29200,29350,28882.642578,1597338
2020-04-21,29000,29100,28150,28850,28390.605469,2441841
2020-04-22,28100,29050,27400,28400,27947.771484,2420355
2020-04-23,28700,29800,28650,28800,28341.402344,1963345
2020-04-24,28400,28900,27650,27700,27258.917969,2200412
2020-04-27,27900,28900,27800,28600,28144.585938,1374350
2020-04-28,28900,29900,28900,29250,28784.236328,2172224
2020-04-29,29300,29650,28900,29650,29177.867188,1875521
2020-05-04,29550,29550,28500,28700,28242.994141,1876049
2020-05-06,29100,29600,29050,29150,28685.828125,1579421
2020-05-07,28850,29300,28600,29000,28538.216797,1333680
2020-05-08,29300,30900,29250,30500,30014.332031,2777232
2020-05-11,30700,31400,30500,30550,30063.535156,2487579
2020-05-12,30550,30550,29400,29700,29227.070313,1967011
2020-05-13,29000,29950,28750,29700,29227.070313,1311883
2020-05-14,29250,29400,28650,28700,28242.994141,2081307
2020-05-15,29000,29250,28550,29100,28636.625,1261825
2020-05-18,29200,29500,28750,29350,28882.642578,1708727
2020-05-19,30800,31950,30500,31700,31195.222656,5443583
2020-05-20,31300,31350,30600,30850,30358.757813,1969201
2020-05-21,31250,31450,30500,30600,30112.738281,2071411
2020-05-22,30650,30850,29850,30100,29620.701172,1764649
2020-05-25,30200,30600,29800,30400,29915.923828,1126618
2020-05-26,30300,31700,30250,31500,30998.408203,2664764
2020-05-27,31900,32400,31400,31950,31441.242188,2250605
2020-05-28,32350,32450,31400,32100,31588.853516,2215603
2020-05-29,31900,34650,31800,34250,33704.617188,5053078
2020-06-01,33900,35150,33800,34600,34049.042969,2524579
2020-06-02,34300,37000,34300,36500,35918.789063,3154171
2020-06-03,37050,38250,36650,36800,36214.011719,3786425
2020-06-04,37700,37800,35600,36000,35426.75,2735073
2020-06-05,35900,36900,35400,36550,35967.992188,1795559
2020-06-08,37250,37700,36650,37450,36853.664063,2553633
2020-06-09,37450,38000,36600,36700,36115.605469,2151648
2020-06-10,36700,36700,35800,36100,35525.160156,1597092
2020-06-11,35500,36400,34900,35700,35131.527344,2230100
2020-06-12,34000,35000,33550,35000,34442.675781,2008295
2020-06-15,34100,34600,32200,32200,31687.261719,2407518
2020-06-16,32700,34350,32700,34250,33704.617188,1866950
2020-06-17,33950,34450,33000,33250,32720.541016,1719716
2020-06-18,32900,34100,32600,33400,32868.152344,1287718
2020-06-19,33900,33900,32900,33050,32523.726563,1486816
2020-06-22,32550,33250,32450,32500,31982.484375,1231961
2020-06-23,32750,33400,32150,32250,31736.464844,1553679
2020-06-24,32700,34450,32550,33750,33212.578125,2345625
2020-06-25,33050,33200,32500,32550,32031.6875,1495320
2020-06-26,33100,33500,32850,33050,32523.726563,1329381
2020-06-29,32300,32500,31900,32100,31588.853516,1259626
2020-06-30,32600,32650,32050,32050,31539.650391,1193847
2020-07-01,32200,32550,32050,32200,31687.261719,885004
2020-07-02,32000,32650,32000,32200,31687.261719,1062611
2020-07-03,32400,32550,32050,32150,31638.056641,916274
2020-07-06,32350,33300,32000,32950,32425.318359,1611615
2020-07-07,33100,33200,32200,32200,31687.261719,1771225
2020-07-08,32200,33400,32200,32850,32326.910156,1704734
2020-07-09,32950,33250,32500,32500,31982.484375,1154644
2020-07-10,32250,32550,31900,32050,31539.650391,1064282
2020-07-13,32300,33850,32150,33800,33261.785156,1924926
2020-07-14,33450,34000,33100,34000,33458.597656,1413638
2020-07-15,34800,35950,34700,35200,34639.492188,2955272
2020-07-16,35500,35950,35100,35300,34737.898438,1891487
2020-07-17,35950,37000,35700,36800,36214.011719,2720640
2020-07-20,36950,38350,36900,38000,37394.90625,2899647
2020-07-21,37900,37900,36550,36700,36115.605469,3208266
2020-07-22,36650,37250,35700,35800,35229.9375,2156629
2020-07-23,35800,37100,35200,36700,36115.605469,2882165
2020-07-24,36150,37850,35900,36900,36312.421875,2719769
2020-07-27,37250,37950,36550,37700,37099.683594,2159629
2020-07-28,37750,37900,37200,37700,37099.683594,1698056
2020-07-29,37700,39750,37300,39650,39018.628906,3410420
2020-07-30,40300,41350,40000,40700,40051.910156,2577431
2020-07-31,40500,41000,39700,40400,39756.6875,1812196
2020-08-03,40250,40300,38900,39700,39067.835938,1823829
2020-08-04,40100,41300,40050,41150,40494.746094,1998358
2020-08-05,41150,41500,40600,41100,40445.542969,1501565
2020-08-06,41450,42800,41200,42150,41478.820313,2504981
2020-08-07,42450,43200,41650,42250,41577.230469,2249386
2020-08-10,42200,47500,42200,46350,45611.941406,6774254
2020-08-11,47000,47700,45200,47200,46448.40625,3721633
2020-08-12,46050,46600,44900,45250,44529.457031,2734266
2020-08-13,45750,46200,44000,44900,44185.03125,2245671
2020-08-14,44950,45100,43100,44400,43692.992188,1557534
2020-08-18,44350,44600,41850,42700,42020.0625,1896768
2020-08-19,42200,43250,41950,42300,41626.433594,2489110
2020-08-20,41850,43150,39850,40250,39609.078125,2611942
2020-08-21,40800,41500,40100,40750,40101.113281,1815543
2020-08-24,40800,41600,40100,41550,40888.375,1804120
2020-08-25,42200,44700,42200,43000,42315.285156,2755909
2020-08-26,42900,43500,42250,43200,42512.101563,1613088
2020-08-27,43400,43500,42050,42200,41528.027344,1517260
2020-08-28,42300,44050,42100,42750,42069.269531,2038560
2020-08-31,43350,44300,42450,42450,41774.042969,2765135
2020-09-01,42500,43450,42450,43150,42462.898438,1787286
2020-09-02,43050,43150,41800,42200,41528.027344,1776692
2020-09-03,42250,42800,42050,42700,42020.0625,1405908
2020-09-04,41300,42400,41250,42150,41478.820313,1510688
2020-09-07,41950,42450,41600,42300,41626.433594,875590
2020-09-08,42500,42900,42200,42300,41626.433594,1018948
2020-09-09,42150,42800,41900,42100,41429.617188,1352778
2020-09-10,42500,42550,42000,42150,41478.820313,1182951
2020-09-11,41900,42600,41650,42300,41626.433594,784409
2020-09-14,42700,44400,42700,44400,43692.992188,2473674
2020-09-15,44750,45200,44400,44650,43939.011719,2173691
2020-09-16,44550,47300,44000,46750,46005.574219,4289868
2020-09-17,47200,50200,47000,48500,47727.707031,6283484
2020-09-18,48450,48800,47300,47800,47038.855469,2291761
2020-09-21,47500,50000,47500,48450,47678.503906,3041594
2020-09-22,47950,48200,46000,46300,45562.738281,2512697
2020-09-23,47050,47100,44750,46000,45267.515625,2303855
2020-09-24,44950,45300,44250,44550,43840.605469,1801827
2020-09-25,44950,45100,43200,44000,43299.363281,1776722
2020-09-28,44500,45950,44200,45500,44775.476563,1378684
2020-09-29,46500,46900,45750,46900,46153.183594,1721133
2020-10-05,47450,50500,47450,50500,49695.859375,4185612
2020-10-06,51300,51400,49950,50600,49794.269531,3120855
2020-10-07,49850,50700,49200,50300,49499.046875,2181955
2020-10-08,51000,51500,50000,50900,50089.492188,2672889
2020-10-12,50000,50600,49650,49700,48908.597656,2479740
2020-10-13,49800,50500,48400,50300,49499.046875,2299747
2020-10-14,50400,50800,48900,49150,48367.355469,1954410
2020-10-15,48700,49600,48500,48900,48121.339844,1242544
2020-10-16,49000,49000,46550,47150,46399.203125,2521703
2020-10-19,47000,47750,46600,46700,45956.371094,1536628
2020-10-20,43150,47150,43150,46850,46103.980469,4399855
2020-10-21,46550,46750,45050,45450,44726.273438,2311018
2020-10-22,44900,45450,44300,45200,44480.253906,1650240
2020-10-23,45250,46650,45250,46250,45513.535156,1851587
2020-10-26,45950,48350,45400,47950,47186.464844,3113034
2020-10-27,50600,53000,49600,52900,52057.644531,9347585
2020-10-28,52600,53900,51500,53800,52943.3125,3567700
2020-10-29,52800,53600,51700,53000,52156.050781,3225860
2020-10-30,52400,52600,50400,50500,49695.859375,2559004
2020-11-02,50700,52200,50600,51500,50679.9375,1651148
2020-11-03,51800,52400,50800,51000,50187.898438,1913867
2020-11-04,51500,53000,51000,51500,50679.9375,2941439
2020-11-05,52200,52500,51400,52200,51368.789063,2424158
2020-11-06,52100,53600,51300,51600,50778.34375,2214532
2020-11-09,52200,53000,51900,52300,51467.199219,1662698
2020-11-10,52900,54700,52000,54500,53632.164063,3155193
2020-11-11,54500,58700,54500,58100,57174.839844,4438993
2020-11-12,58600,60100,57200,59000,58060.511719,4630753
2020-11-13,59000,61800,58800,59200,58257.324219,3972078
2020-11-16,59700,60200,58100,59700,58749.363281,3356021
2020-11-17,58900,60800,58200,58500,57568.472656,3227550
2020-11-18,58600,59200,57400,58200,57273.25,2360865
2020-11-19,58800,59400,57800,58800,57863.695313,1742288
2020-11-20,58100,58400,57700,58100,57174.839844,1894950
2020-11-23,57600,59700,57500,59300,58355.734375,2066011
2020-11-24,59700,59900,58700,59800,58847.769531,2044604
2020-11-25,59800,60300,58300,59000,58060.511719,1948846
2020-11-26,58500,58800,58000,58400,57470.0625,1742667
2020-11-27,58200,59100,58000,58700,57765.285156,1223715
2020-11-30,58700,60400,57800,57800,56879.617188,3810442
2020-12-01,58700,60000,58100,59800,58847.769531,1822248
2020-12-02,60000,61000,59400,60800,59831.847656,2964672
2020-12-03,60800,64800,60000,64700,63669.746094,4152306
2020-12-04,65000,66600,64300,65400,64358.597656,3866516
2020-12-07,64700,65000,63000,64600,63571.339844,3382871
2020-12-08,64000,64100,62800,63100,62095.222656,2890452
2020-12-09,63100,64400,63100,63700,62685.667969,1984241
2020-12-10,63100,64700,62700,63800,62784.078125,3179894
2020-12-11,63500,64400,63400,63700,62685.667969,1614527
2020-12-14,63600,64300,62500,63200,62193.632813,1769327
2020-12-15,62700,63500,61500,62000,61012.738281,2348952
2020-12-16,62000,63400,62000,62500,61504.777344,1363821
2020-12-17,62600,62700,61700,62000,61012.738281,1326705
2020-12-18,62000,62600,61600,62200,61209.554688,1330698
2020-12-21,62200,62200,60500,61300,60323.886719,1446522
2020-12-22,60600,60900,59800,59800,58847.769531,1645392
2020-12-23,60000,62000,59500,61400,60422.292969,1658263
2020-12-24,61800,62800,61200,61700,60717.515625,1271051
2020-12-28,62200,63700,61700,62800,61800,2282079
2020-12-29,63600,63600,61600,62300,62300,1839069
2020-12-30,62300,63000,61900,62400,62400,1740601
2021-01-04,62400,64800,61700,64000,64000,5602314
2021-01-05,64100,64500,62300,63700,63700,3837356
2021-01-06,63700,64100,62000,62200,62200,2772352
2021-01-07,62400,63700,62300,63000,63000,3144465
2021-01-08,68000,72100,64600,68300,68300,25357804
2021-01-11,70900,75000,68300,70100,70100,11680482
2021-01-12,69000,70800,66900,70200,70200,5784682
2021-01-13,70300,76700,68200,72200,72200,8971217
2021-01-14,71200,75500,70500,73800,73800,6832897
2021-01-15,74100,75000,71100,71100,71100,4439591
2021-01-18,69400,72700,68900,71500,71500,3479732
2021-01-19,73000,83400,72900,83400,83400,13378821
2021-01-20,96000,99500,87200,87600,87600,26518838
2021-01-21,86700,93200,86000,91100,91100,12525296
2021-01-22,89500,90600,87000,87800,87800,7118801
2021-01-25,86000,93600,86000,93300,93300,9905812
2021-01-26,91700,92200,88700,89700,89700,5807061
2021-01-27,89500,94600,88100,90000,90000,10756099
2021-01-28,87400,91900,87400,88200,88200,6993254
2021-01-29,89200,89400,82200,82500,82500,9432805
2021-02-01,83500,90000,81100,90000,90000,7866025
