Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,338500,347500,338500,343500,339280.09375,642288
2020-01-31,349000,354000,335000,337500,333353.8125,391298
2020-02-03,328500,351500,325500,350000,345700.25,594448
2020-02-04,364500,385000,361500,379500,374837.84375,995237
2020-02-05,391000,391500,377000,382000,377307.125,731711
2020-02-06,374500,385000,372500,382000,377307.125,551088
2020-02-07,377000,391500,377000,386500,381751.84375,392312
2020-02-10,382500,390000,381000,387000,382245.71875,291904
2020-02-11,394500,420000,393500,413500,408420.15625,983089
2020-02-12,408500,412000,403500,408000,402987.71875,463511
2020-02-13,408500,418000,408000,411500,406444.71875,448366
2020-02-14,416500,420000,412000,413500,408420.15625,301730
2020-02-17,420500,422500,409000,419500,414346.4375,514355
2020-02-18,418000,422000,415000,418000,412864.875,366288
2020-02-19,420500,421500,403500,404000,399036.875,766920
2020-02-20,408500,422000,406000,419000,413852.59375,482732
2020-02-21,407000,416500,406500,407000,402000,400924
2020-02-24,392000,400000,391500,395000,390147.4375,463848
2020-02-25,395500,400500,391500,399500,394592.15625,478820
2020-02-26,394000,398000,387000,395000,390147.4375,334971
2020-02-27,394000,398000,384000,388000,383233.4375,345104
2020-02-28,376500,380000,366500,368000,363479.125,643995
2020-03-02,368500,385000,362500,377000,372368.5625,514325
2020-03-03,393000,398500,384500,386500,381751.84375,547921
2020-03-04,383500,398500,382000,392000,387184.28125,478790
2020-03-05,407500,412000,402000,406000,401012.28125,645954
2020-03-06,401000,404000,395500,400000,395086,357631
2020-03-09,400000,400000,400000,400000,395086,0
2020-03-10,371000,380000,368000,373500,368911.5625,660399
2020-03-11,374000,377500,362000,365000,360515.96875,447847
2020-03-12,365000,365000,365000,365000,360515.96875,0
2020-03-13,315000,343500,313000,340500,336316.96875,899561
2020-03-16,343000,348000,312500,312500,308660.9375,747892
2020-03-17,295000,315500,294500,306500,302734.65625,819960
2020-03-18,307500,312000,280000,280000,276560.1875,946373
2020-03-19,284500,285500,230000,230000,227174.45313,1394682
2020-03-20,246000,273000,242000,272500,269152.34375,1306067
2020-03-23,249500,286500,248500,268000,264707.625,947838
2020-03-24,283500,297500,274000,288000,284461.90625,966345
2020-03-25,310000,316500,296500,307500,303722.375,803831
2020-03-26,309500,314000,297500,299500,295820.65625,720792
2020-03-27,313000,314500,292500,303500,299771.5,648602
2020-03-30,291000,307000,289500,303000,299277.65625,473701
2020-03-31,306500,309500,298500,305000,301253.0625,492967
2020-04-01,305000,307000,292000,292000,288412.78125,599459
2020-04-02,292000,294500,280000,291000,287425.0625,688886
2020-04-03,300000,304500,285500,290500,286931.21875,540101
2020-04-06,295000,297000,290500,296500,292857.5,494846
2020-04-07,307000,309500,301000,309000,305203.9375,717617
2020-04-08,308500,319500,306500,313000,309154.78125,616801
2020-04-09,319000,324500,317000,324500,320513.53125,470177
2020-04-10,324500,326000,318500,324000,320019.65625,313697
2020-04-13,325500,325500,314000,315000,311130.21875,298575
2020-04-14,327500,329000,321000,326500,322488.9375,436161
2020-04-16,327500,345000,327000,343000,338786.25,621763
2020-04-17,352500,376000,352000,362500,358046.6875,753764
2020-04-20,362500,369500,351000,351500,347181.8125,504864
2020-04-21,348000,359500,343500,354000,349651.125,710608
2020-04-22,346500,357000,345500,355000,350638.8125,362008
2020-04-23,360000,361500,356500,361000,356565.125,343123
2020-04-24,358000,358500,350000,353500,349157.25,270535
2020-04-27,353500,357000,348000,353500,349157.25,445576
2020-04-28,365000,371500,354000,362500,358046.6875,582497
2020-04-29,368000,376500,365000,376500,371874.6875,566265
2020-05-04,361000,366000,358000,360000,355577.40625,669179
2020-05-06,366500,366500,356500,361000,356565.125,344167
2020-05-07,358000,361000,352500,354000,349651.125,431374
2020-05-08,349000,356500,346500,352500,348169.53125,678484
2020-05-11,351500,354000,345000,346500,342243.25,629395
2020-05-12,346000,346000,336500,338000,333847.6875,554982
2020-05-13,330000,352500,330000,352000,347675.6875,861294
2020-05-14,348000,351000,341000,344500,340267.8125,399418
2020-05-15,348500,349500,343000,346500,342243.25,364374
2020-05-18,349500,356000,346000,354000,349651.125,408948
2020-05-19,363500,364000,356500,357000,352614.25,395494
2020-05-20,352500,362500,351500,362500,358046.6875,358098
2020-05-21,367000,385000,365000,377500,372862.40625,1033430
2020-05-22,382000,385000,373500,377000,372368.5625,504011
2020-05-25,380000,389500,375000,389500,384715,505854
2020-05-26,398500,416000,398000,414000,408914,958956
2020-05-27,406000,412000,394500,395500,390641.28125,622426
2020-05-28,403000,404000,380000,388500,383727.28125,842769
2020-05-29,381500,391000,381500,390500,385702.71875,526505
2020-06-01,391000,401000,389500,396000,391135.15625,401656
2020-06-02,400000,402000,393000,395000,390147.4375,390982
2020-06-03,399000,401500,395000,400500,395579.875,474692
2020-06-04,400500,420000,399500,417500,412371,966577
2020-06-05,421500,434000,421000,434000,428668.3125,865564
2020-06-08,440000,446000,432000,434000,428668.3125,684281
2020-06-09,439000,441500,425500,432500,427186.75,609988
2020-06-10,432500,442000,429500,440000,434594.59375,535589
2020-06-11,447000,469500,446000,463000,457312.0625,1250374
2020-06-12,436500,466000,436000,462000,456324.34375,1007453
2020-06-15,455000,460500,428000,428000,422742.03125,851192
2020-06-16,445000,487500,444000,487500,481511.0625,1156149
2020-06-17,484000,512000,481500,491500,485461.9375,1390544
2020-06-18,491500,494500,481500,491000,484968.0625,509457
