Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,179500,183000,175000,180000,179742.48438,772160
2020-01-31,180000,180500,177500,179500,179243.20313,537062
2020-02-03,178000,180500,176000,177500,177246.0625,485913
2020-02-04,177500,181500,175000,180500,180241.76563,563463
2020-02-05,181000,183500,178500,181500,181240.34375,653809
2020-02-06,182500,183500,180500,181500,181240.34375,659850
2020-02-07,181500,188500,181000,185000,184735.32813,728633
2020-02-10,182500,184000,180500,183500,183237.48438,433051
2020-02-11,183500,185000,183000,184500,184236.04688,400386
2020-02-12,183000,185000,181500,185000,184735.32813,351892
2020-02-13,184000,185000,183000,184500,184236.04688,555923
2020-02-14,184000,187500,184000,186500,186233.1875,659429
2020-02-17,184500,189000,184500,188500,188230.32813,312407
2020-02-18,186500,188500,185500,186500,186233.1875,345642
2020-02-19,188000,191000,185000,189500,189228.89063,560743
2020-02-20,189500,191500,187500,190000,189728.1875,427402
2020-02-21,187500,191000,187000,189500,189228.89063,434019
2020-02-24,185500,187500,183500,184000,183736.76563,567036
2020-02-25,184000,191000,183500,190500,190227.46875,704859
2020-02-26,189500,190000,186500,187000,186732.46875,494066
2020-02-27,185000,187000,179000,182000,181739.625,535696
2020-02-28,179000,180000,172000,174000,173751.0625,830654
2020-03-02,175000,177000,172500,175000,174749.64063,659376
2020-03-03,179000,180000,174000,175000,174749.64063,544379
2020-03-04,174500,179500,173000,178500,178244.625,450252
2020-03-05,180500,181000,178500,181000,180741.0625,483840
2020-03-06,179500,181000,177500,179500,179243.20313,293897
2020-03-09,179500,179500,179500,179500,179243.20313,0
2020-03-10,168000,176000,165000,172000,171753.9375,666532
2020-03-11,172000,174000,167500,170000,169756.79688,483822
2020-03-12,170000,170000,170000,170000,169756.79688,0
2020-03-13,151000,168000,149500,166000,165762.51563,1242510
2020-03-16,166000,166500,155000,155000,154778.25,812823
2020-03-17,147500,155500,147000,151000,150783.96875,979243
2020-03-18,152500,156000,146000,146000,145791.125,666723
2020-03-19,150000,151500,135000,144000,143793.98438,1154230
2020-03-20,147500,156500,146000,154000,153779.6875,997895
2020-03-23,141500,149500,140000,143000,142795.42188,1033851
2020-03-24,151500,157000,148000,156000,155776.82813,960786
2020-03-25,160500,163000,152000,156000,155776.82813,1039579
2020-03-26,156000,158000,149500,152500,152281.82813,988725
2020-03-27,161500,164500,158500,164000,163765.375,1217815
2020-03-30,160000,165000,159000,162500,162267.51563,630830
2020-03-31,163500,171000,163500,170000,169756.79688,858165
2020-04-01,166500,171000,163000,163000,162766.8125,720283
2020-04-02,166500,175000,164500,173500,173251.78125,1086863
2020-04-03,170000,172500,168000,172000,171753.9375,663454
2020-04-06,173500,176000,170500,173000,172752.5,655547
2020-04-07,174000,174500,167500,169500,169257.51563,873091
2020-04-08,169000,169500,166500,166500,166261.79688,588577
2020-04-09,168500,169000,165000,167500,167260.375,682921
2020-04-10,166000,167000,164000,166500,166261.79688,483720
2020-04-13,164500,168000,162500,166000,165762.51563,413768
2020-04-14,168000,170000,166500,168500,168258.9375,520725
2020-04-16,168000,172500,167500,170500,170256.07813,841066
2020-04-17,175500,180000,173500,179000,178743.92188,900031
2020-04-20,181000,182000,179000,180000,179742.48438,663723
2020-04-21,180500,181500,173500,178500,178244.625,759150
2020-04-22,175000,182500,173000,182000,181739.625,611589
2020-04-23,190000,196000,186500,190000,189728.1875,1521478
2020-04-24,189000,197500,189000,192500,192224.60938,928695
2020-04-27,193000,200000,192500,197500,197217.45313,927347
2020-04-28,197500,198000,194500,198000,197716.73438,433549
2020-04-29,199500,200000,196500,197500,197217.45313,676743
2020-05-04,198500,203000,193500,199000,198715.29688,1104027
2020-05-06,201500,212500,200500,212000,211696.70313,992225
2020-05-07,211500,220000,210500,215500,215191.70313,984024
2020-05-08,216000,218500,212000,214000,213693.84375,732394
2020-05-11,214500,221000,214000,214500,214193.125,599328
2020-05-12,218000,226500,215000,219500,219185.98438,1056584
2020-05-13,217500,222500,213500,218500,218187.40625,1014692
2020-05-14,214500,222000,214500,219000,218686.6875,866427
2020-05-15,219000,219500,209500,213000,212695.28125,1050469
2020-05-18,215000,218000,211500,215000,214692.42188,638906
2020-05-19,215000,216500,210500,213500,213194.5625,917603
2020-05-20,215500,225500,215000,222000,221682.40625,977544
2020-05-21,227500,233500,222500,225000,224678.10938,1004395
2020-05-22,227000,232500,222500,230500,230170.23438,1108281
2020-05-25,234500,241000,234000,241000,240655.21875,1015069
2020-05-26,244000,246000,230000,239000,238658.07813,1568016
2020-05-27,231000,234500,226500,228500,228173.09375,1351505
2020-05-28,226000,241000,222000,240500,240155.9375,1625154
2020-05-29,240000,243000,226000,226000,225676.67188,3114298
2020-06-01,233500,237000,230000,237000,236660.9375,1140644
2020-06-02,235000,236000,232000,234000,233665.23438,689584
2020-06-03,235000,235500,225000,225500,225177.39063,1476614
2020-06-04,228000,235000,227000,232500,232167.375,1052789
2020-06-05,229000,231000,225000,231000,230669.53125,1061922
2020-06-08,234500,242000,231000,240500,240155.9375,1624752
2020-06-09,240000,243000,235500,237500,237160.21875,934440
2020-06-10,241000,247500,240000,244000,243650.92188,1431071
2020-06-11,244000,249000,239000,240500,240155.9375,1423978
2020-06-12,229000,242500,228500,242000,241653.78125,1318334
2020-06-15,240000,244500,230500,231500,231168.8125,1311773
2020-06-16,239000,243500,236000,243500,243151.64063,1155474
2020-06-17,244000,252000,243500,251000,250640.90625,1357900
2020-06-18,251500,254000,247000,247500,247145.92188,744330
2020-06-19,250000,250000,244000,249500,249143.0625,919945
2020-06-22,249500,271500,247500,270000,269613.71875,1841479
2020-06-23,272000,289000,270500,276000,275605.15625,2104075
2020-06-24,273500,279500,270500,279000,278600.84375,995065
2020-06-25,273500,276500,269500,269500,269114.4375,1196267
2020-06-26,274500,275000,263000,269000,268615.15625,937593
2020-06-29,265000,270500,261000,264000,263622.3125,814814
2020-06-30,268000,270500,263000,267000,266618.03125,862860
2020-07-01,270000,275000,266000,269000,268615.15625,655711
2020-07-02,274000,277000,271000,277000,276603.71875,1015829
2020-07-03,276500,280500,274500,277500,277103,971940
2020-07-06,278000,287500,278000,281500,281097.28125,1211636
2020-07-07,285000,289500,279000,279500,279100.125,1365047
2020-07-08,280000,284500,274000,282500,282095.84375,1353345
2020-07-09,286500,296500,284500,287500,287088.6875,2006662
2020-07-10,291500,308500,290000,299000,298572.25,2120904
2020-07-13,303500,303500,288000,297000,296575.09375,1254800
2020-07-14,290000,291000,285000,287000,286589.40625,1360849
2020-07-15,290500,293000,280500,286500,286090.125,1276196
2020-07-16,283000,285000,272000,273000,272609.4375,1338814
2020-07-17,270000,279500,266000,276000,275605.15625,926932
2020-07-20,276500,278000,260500,263000,262623.75,1556415
2020-07-21,273000,273500,269000,270000,269613.71875,1179638
2020-07-22,264000,272500,261500,270000,269613.71875,905784
2020-07-23,272000,284000,271000,284000,283593.6875,1396607
2020-07-24,281000,290500,278500,281000,280598,1233584
2020-07-27,281000,287500,276500,284500,284093,691075
2020-07-28,289500,292000,284000,288000,287587.96875,978238
2020-07-29,286000,292000,283000,292000,291582.25,964066
2020-07-30,296000,297500,291000,294000,293579.40625,1150474
2020-07-31,299000,303000,296500,301000,300569.375,1567503
2020-08-03,301500,314500,299000,314500,314050.0625,1341104
2020-08-04,317500,322000,307500,311000,310555.0625,1330818
2020-08-05,312000,314500,306500,313500,313051.5,809939
2020-08-06,313000,322000,310500,322000,321539.34375,1032045
2020-08-07,324500,325500,312000,314000,313550.78125,1063254
2020-08-10,308500,314500,303500,313500,313051.5,968592
2020-08-11,311000,314500,307500,311500,311054.34375,665863
2020-08-12,308000,311000,303500,305000,304563.65625,856711
2020-08-13,310000,311500,304000,307000,306560.78125,1406370
2020-08-14,305000,308500,303000,305000,304563.65625,608156
2020-08-18,307500,317500,305000,307500,307060.09375,1494966
2020-08-19,311500,316000,305500,315000,314549.34375,941038
2020-08-20,315000,319000,302500,305500,305062.9375,1186809
2020-08-21,311500,314500,308000,312500,312052.9375,781961
2020-08-24,313000,320000,310000,320000,319542.1875,783392
