Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,490500,500000,485000,495000,495000,161574
2020-01-31,495000,499500,484500,484500,484500,132195
2020-02-03,477000,484000,465000,479500,479500,193254
2020-02-04,483000,493000,482500,492500,492500,113472
2020-02-05,495500,499500,489000,490000,490000,95141
2020-02-06,497500,523000,494000,519000,519000,298254
2020-02-07,521000,524000,510000,519000,519000,125762
2020-02-10,519000,534000,511000,530000,530000,153016
2020-02-11,536000,542000,524000,528000,528000,170868
2020-02-12,528000,538000,525000,530000,530000,131478
2020-02-13,537000,537000,527000,530000,530000,111860
2020-02-14,530000,533000,528000,529000,529000,77388
2020-02-17,529000,529000,517000,519000,519000,145950
2020-02-18,514000,518000,510000,513000,513000,121475
2020-02-19,513000,517000,500000,505000,505000,175595
2020-02-20,507000,514000,495000,498500,498500,261309
2020-02-21,493000,494000,483000,486500,486500,214090
2020-02-24,470000,477500,461000,461000,461000,278895
2020-02-25,459000,479500,458000,479000,479000,246549
2020-02-26,468000,484500,467000,480000,480000,156734
2020-02-27,479000,484000,471000,480000,480000,166026
2020-02-28,473000,475000,455500,463500,463500,231859
2020-03-02,463000,472500,457500,467000,467000,149246
2020-03-03,479500,502000,476500,479500,479500,233926
2020-03-04,479500,491000,479000,489000,489000,140079
2020-03-05,498500,499000,490000,496500,496500,130398
2020-03-06,491000,494000,487500,491000,491000,93421
2020-03-09,484000,500000,483000,494000,494000,202109
2020-03-10,489000,497000,486000,496000,496000,156243
2020-03-11,507000,514000,476500,484000,484000,201904
2020-03-12,480000,489000,467000,483000,483000,244877
2020-03-13,465000,478000,420000,456500,456500,477093
2020-03-16,463000,474500,429500,430000,430000,218369
2020-03-17,410000,433000,409500,417500,417500,423614
2020-03-18,425500,427500,400500,400500,400500,276886
2020-03-19,410000,416000,352000,366000,366000,470624
2020-03-20,383500,451000,371500,430000,430000,586738
2020-03-23,406000,454500,405500,436000,436000,589740
2020-03-24,452500,492000,448000,476000,476000,509039
2020-03-25,492500,494000,462000,475000,475000,431318
2020-03-26,469500,475000,456000,456500,456500,324101
2020-03-27,467000,469000,436000,443000,443000,399994
2020-03-30,437000,452000,433500,450000,450000,216938
2020-03-31,455000,493000,448000,482000,482000,665621
2020-04-01,481000,486000,450500,452500,452500,313016
2020-04-02,451000,468000,449000,464500,464500,187474
2020-04-03,463500,478000,461000,467500,467500,220451
2020-04-06,474500,488000,473000,477000,477000,219399
2020-04-07,486000,486000,474000,482500,482500,177208
2020-04-08,482500,484500,477500,477500,477500,124190
2020-04-09,481500,483000,474000,478500,478500,125253
2020-04-10,500000,603000,494500,559000,559000,3037570
2020-04-13,570000,589000,539000,539000,539000,1184911
2020-04-14,542000,560000,529000,542000,542000,539127
2020-04-16,536000,553000,535000,540000,540000,297720
2020-04-17,553000,568000,531000,566000,566000,776987
2020-04-20,560000,576000,555000,566000,566000,472857
2020-04-21,568000,583000,557000,579000,579000,997287
2020-04-22,573000,594000,572000,580000,580000,625247
2020-04-23,581000,608000,576000,601000,601000,1028524
2020-04-24,598000,603000,588000,591000,591000,400836
2020-04-27,593000,596000,582000,588000,588000,176447
2020-04-28,589000,598000,583000,588000,588000,189318
2020-04-29,587000,589000,581000,581000,581000,157790
2020-05-04,566000,572000,555000,556000,556000,302753
2020-05-06,561000,578000,559000,575000,575000,204420
2020-05-07,571000,578000,566000,567000,567000,138941
2020-05-08,571000,599000,570000,588000,588000,438329
2020-05-11,592000,596000,581000,586000,586000,164802
2020-05-12,586000,593000,583000,592000,592000,188243
2020-05-13,589000,619000,588000,616000,616000,510468
2020-05-14,613000,614000,600000,612000,612000,190133
2020-05-15,616000,617000,601000,605000,605000,147881
2020-05-18,614000,626000,590000,597000,597000,218856
2020-05-19,608000,609000,592000,600000,600000,186947
2020-05-20,599000,603000,595000,600000,600000,101649
2020-05-21,601000,610000,594000,609000,609000,164932
2020-05-22,630000,640000,611000,618000,618000,397591
2020-05-25,619000,634000,616000,632000,632000,226644
2020-05-26,635000,645000,627000,645000,645000,233836
2020-05-27,645000,645000,623000,624000,624000,207579
2020-05-28,619000,627000,603000,611000,611000,223388
2020-05-29,616000,628000,613000,622000,622000,149536
2020-06-01,629000,632000,620000,629000,629000,118807
2020-06-02,626000,631000,621000,629000,629000,83476
2020-06-03,635000,638000,617000,626000,626000,185023
2020-06-04,626000,660000,617000,650000,650000,578811
2020-06-05,645000,678000,640000,665000,665000,326076
2020-06-08,667000,671000,646000,664000,664000,298766
2020-06-09,679000,690000,667000,676000,676000,296132
2020-06-10,679000,705000,676000,704000,704000,282781
2020-06-11,716000,770000,711000,747000,747000,593199
2020-06-12,719000,817000,718000,805000,805000,789465
2020-06-15,827000,863000,770000,808000,808000,846654
2020-06-16,846000,847000,808000,826000,826000,404083
2020-06-17,823000,834000,807000,824000,824000,278676
2020-06-18,824000,831000,807000,810000,810000,189462
2020-06-19,816000,816000,778000,801000,801000,349718
2020-06-22,795000,808000,785000,793000,793000,175790
2020-06-23,800000,816000,787000,802000,802000,292065
2020-06-24,834000,835000,813000,819000,819000,284743
2020-06-25,811000,833000,811000,815000,815000,163339
2020-06-26,821000,823000,793000,810000,810000,175138
2020-06-29,808000,809000,784000,784000,784000,174433
2020-06-30,784000,791000,765000,775000,775000,230619
2020-07-01,775000,784000,752000,752000,752000,225298
2020-07-02,764000,795000,763000,786000,786000,266716
2020-07-03,795000,796000,764000,771000,771000,225308
2020-07-06,765000,767000,745000,754000,754000,250485
2020-07-07,763000,767000,746000,751000,751000,253614
2020-07-08,747000,754000,726000,736000,736000,287658
2020-07-09,736000,752000,729000,741000,741000,204703
2020-07-10,748000,748000,725000,731000,731000,163506
2020-07-13,738000,738000,716000,730000,730000,179922
2020-07-14,733000,749000,724000,735000,735000,169708
2020-07-15,749000,750000,738000,749000,749000,167363
2020-07-16,750000,750000,732000,732000,732000,118279
2020-07-17,726000,744000,716000,743000,743000,148719
2020-07-20,744000,752000,735000,739000,739000,190729
2020-07-21,743000,752000,742000,750000,750000,167336
2020-07-22,757000,790000,744000,790000,790000,371837
2020-07-23,794000,797000,772000,775000,775000,200661
2020-07-24,768000,773000,755000,755000,755000,145328
2020-07-27,753000,765000,752000,754000,754000,93656
2020-07-28,764000,771000,760000,761000,761000,167728
2020-07-29,763000,763000,737000,741000,741000,191530
2020-07-30,735000,744000,724000,736000,736000,143504
2020-07-31,736000,745000,733000,733000,733000,95025
2020-08-03,728000,740000,717000,736000,736000,163725
2020-08-04,735000,746000,730000,735000,735000,108754
2020-08-05,746000,793000,740000,787000,787000,521095
2020-08-06,806000,811000,773000,778000,778000,286882
2020-08-07,783000,785000,762000,768000,768000,167220
2020-08-10,768000,781000,756000,771000,771000,177707
2020-08-11,793000,832000,783000,804000,804000,761446
2020-08-12,815000,854000,814000,843000,843000,760424
2020-08-13,837000,844000,809000,820000,820000,366305
2020-08-14,815000,830000,791000,800000,800000,216375
2020-08-18,800000,837000,795000,802000,802000,271955
2020-08-19,815000,828000,805000,809000,809000,150028
2020-08-20,800000,823000,792000,794000,794000,201445
2020-08-21,808000,809000,788000,799000,799000,143094
2020-08-24,800000,822000,799000,820000,820000,131478
2020-08-25,824000,826000,808000,815000,815000,104240
2020-08-26,812000,822000,807000,812000,812000,101158
2020-08-27,810000,812000,799000,801000,801000,132306
2020-08-28,808000,809000,795000,799000,799000,100079
2020-08-31,797000,799000,775000,778000,778000,233612
2020-09-01,775000,802000,775000,781000,781000,162447
2020-09-02,783000,786000,758000,770000,770000,188679
2020-09-03,768000,788000,765000,779000,779000,132075
2020-09-04,757000,774000,757000,773000,773000,124897
2020-09-07,773000,788000,767000,776000,776000,85511
2020-09-08,777000,781000,770000,774000,774000,71815
2020-09-09,764000,772000,756000,759000,759000,129170
2020-09-10,766000,767000,759000,764000,764000,84507
2020-09-11,758000,762000,755000,761000,761000,72604
2020-09-14,773000,773000,760000,763000,763000,77199
2020-09-15,766000,782000,761000,773000,773000,93709
2020-09-16,778000,780000,771000,776000,776000,79971
2020-09-17,773000,775000,757000,757000,757000,121310
2020-09-18,758000,762000,748000,758000,758000,64797
2020-09-21,755000,762000,735000,740000,740000,96630
2020-09-22,765000,772000,730000,731000,731000,174966
2020-09-23,732000,736000,698000,705000,705000,199488
2020-09-24,690000,698000,673000,673000,673000,186230
2020-09-25,674000,690000,665000,675000,675000,109274
2020-09-28,680000,690000,676000,685000,685000,59316
2020-09-29,690000,696000,685000,690000,690000,69147
2020-10-05,697000,701000,682000,685000,685000,69478
2020-10-06,688000,714000,687000,712000,712000,101544
2020-10-07,712000,726000,710000,721000,721000,87946
2020-10-08,725000,728000,712000,715000,715000,75344
2020-10-12,724000,724000,715000,719000,719000,54650
2020-10-13,719000,724000,718000,723000,723000,57458
2020-10-14,720000,720000,707000,707000,707000,64578
2020-10-15,713000,719000,704000,704000,704000,67044
2020-10-16,690000,699000,684000,687000,687000,113875
2020-10-19,692000,699000,686000,686000,686000,58832
2020-10-20,682000,689000,670000,682000,682000,81702
2020-10-21,683000,688000,677000,688000,688000,46859
2020-10-22,679000,684000,652000,658000,658000,186612
2020-10-23,659000,660000,631000,636000,636000,196988
2020-10-26,648000,661000,626000,630000,630000,189595
2020-10-27,630000,656000,624000,635000,635000,127882
2020-10-28,635000,643000,633000,637000,637000,55140
2020-10-29,630000,701000,630000,697000,697000,301106
2020-10-30,695000,712000,676000,682000,682000,251134
2020-11-02,691000,699000,682000,698000,698000,84738
2020-11-03,699000,707000,690000,699000,699000,97868
2020-11-04,709000,740000,707000,733000,733000,252251
2020-11-05,767000,787000,757000,781000,781000,447218
2020-11-06,781000,783000,767000,777000,777000,157305
2020-11-09,765000,774000,753000,761000,761000,263933
2020-11-10,777000,779000,750000,752000,752000,210011
2020-11-11,752000,767000,746000,761000,761000,117807
2020-11-12,761000,765000,753000,753000,753000,72329
2020-11-13,749000,766000,741000,757000,757000,82968
2020-11-16,763000,765000,753000,758000,758000,74377
2020-11-17,761000,777000,757000,774000,774000,202657
2020-11-18,787000,817000,785000,812000,812000,403958
2020-11-19,816000,826000,805000,808000,808000,183412
2020-11-20,807000,807000,792000,799000,799000,120173
2020-11-23,805000,814000,802000,804000,804000,102645
2020-11-24,806000,806000,792000,802000,802000,125177
2020-11-25,798000,833000,796000,803000,803000,233314
2020-11-26,807000,808000,797000,799000,799000,79921
2020-11-27,799000,807000,796000,799000,799000,88639
2020-11-30,805000,812000,786000,786000,786000,158509
2020-12-01,794000,799000,786000,793000,793000,76336
2020-12-02,796000,796000,777000,790000,790000,146554
2020-12-03,786000,805000,782000,805000,805000,143791
2020-12-04,802000,828000,798000,825000,825000,301856
2020-12-07,833000,880000,827000,880000,880000,507215
2020-12-08,872000,873000,828000,828000,828000,400980
2020-12-09,831000,838000,811000,822000,822000,193188
2020-12-10,809000,830000,804000,819000,819000,164234
2020-12-11,826000,828000,815000,820000,820000,86772
2020-12-14,818000,819000,810000,812000,812000,83466
2020-12-15,815000,815000,796000,800000,800000,115628
2020-12-16,801000,816000,794000,807000,807000,108007
2020-12-17,804000,805000,798000,804000,804000,69288
2020-12-18,804000,808000,800000,802000,802000,66994
2020-12-21,802000,828000,797000,823000,823000,187024
2020-12-22,824000,826000,800000,803000,803000,107220
2020-12-23,808000,810000,795000,796000,796000,119092
2020-12-24,798000,802000,788000,794000,794000,113354
2020-12-28,797000,805000,788000,789000,789000,190178
2020-12-29,808000,827000,798000,822000,822000,222705
2020-12-30,828000,833000,816000,826000,826000,150024
2021-01-04,819000,838000,804000,829000,829000,182864
2021-01-05,825000,834000,818000,832000,832000,119911
2021-01-06,828000,837000,816000,817000,817000,145873
2021-01-07,824000,824000,816000,819000,819000,116480
2021-01-08,821000,840000,815000,837000,837000,263860
2021-01-11,841000,883000,824000,846000,846000,560123
2021-01-12,847000,862000,806000,818000,818000,289113
2021-01-13,814000,832000,802000,830000,830000,207744
2021-01-14,828000,828000,810000,816000,816000,163631
2021-01-15,820000,824000,804000,804000,804000,142061
2021-01-18,793000,811000,786000,788000,788000,163860
2021-01-19,786000,807000,775000,796000,796000,137717
2021-01-20,800000,804000,786000,795000,795000,98277
2021-01-21,795000,802000,793000,796000,796000,85041
2021-01-22,799000,804000,789000,794000,794000,117646
2021-01-25,791000,798000,786000,790000,790000,117640
2021-01-26,795000,827000,793000,802000,802000,277731
2021-01-27,829000,852000,808000,849000,849000,652417
2021-01-28,830000,846000,816000,838000,838000,233243
2021-01-29,844000,844000,792000,793000,793000,276664
2021-02-01,801000,816000,795000,813000,813000,137543
