Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,58800,58800,56800,57200,54682.617188,20821939
2020-01-31,57800,58400,56400,56400,53917.828125,19749457
2020-02-03,55500,57400,55200,57200,54682.617188,23995260
2020-02-04,57100,59000,56800,58900,56307.804688,21800192
2020-02-05,60000,60200,58900,59500,56881.390625,19278165
2020-02-06,60100,61100,59700,61100,58410.976563,14727159
2020-02-07,61100,61200,59700,60400,57741.785156,16402493
2020-02-10,59200,59800,59100,59700,57072.589844,13107121
2020-02-11,59800,60700,59700,59900,57263.789063,11071231
2020-02-12,60300,60700,59700,60500,57837.378906,12904207
2020-02-13,61200,61600,60500,60700,58028.578125,18449775
2020-02-14,60900,61900,60200,61800,59080.171875,13276067
2020-02-17,61600,62000,61200,61500,58793.375,8740596
2020-02-18,60800,60900,59700,59800,57168.191406,16674266
2020-02-19,59800,60400,59400,60200,57550.589844,12951496
2020-02-20,60700,61300,59600,60000,57359.390625,14591924
2020-02-21,58800,59800,58500,59200,56594.59375,13777393
2020-02-24,57400,58100,56800,56800,54300.21875,25627537
2020-02-25,56200,58000,56200,57900,55351.808594,23885408
2020-02-26,56000,57000,56000,56500,54013.425781,25483102
2020-02-27,56300,56900,55500,55900,53439.832031,23209541
2020-02-28,55000,55500,54200,54200,51814.648438,30054227
2020-03-02,54300,55500,53600,55000,52579.445313,30403412
2020-03-03,56700,56900,55100,55400,52961.839844,30330295
2020-03-04,54800,57600,54600,57400,54873.816406,24765728
2020-03-05,57600,58000,56700,57800,55256.210938,21698990
2020-03-06,56500,57200,56200,56500,54013.425781,18716656
2020-03-09,56500,56500,56500,56500,54013.425781,0
2020-03-10,53800,54900,53700,54600,52197.046875,32106554
2020-03-11,54300,54400,52000,52100,49807.070313,45707281
2020-03-12,52100,52100,52100,52100,49807.070313,0
2020-03-13,47450,51600,46850,49950,47751.691406,59462933
2020-03-16,50100,50900,48800,48900,46747.902344,33339821
