Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,97800,97800,93800,94000,94000,3223436
2020-01-31,94500,97500,93500,93500,93500,4597139
2020-02-03,91800,95600,91500,94700,94700,3725535
2020-02-04,94800,97500,94500,97100,97100,3169743
2020-02-05,99300,99300,96900,97700,97700,2911995
2020-02-06,98900,101000,98300,100500,100500,2861441
2020-02-07,100000,100500,98400,99300,99300,1827393
2020-02-10,98000,99200,97400,98800,98800,1825648
2020-02-11,99900,100500,99000,99800,99800,1820578
2020-02-12,100500,101000,99100,100000,100000,2616573
2020-02-13,101000,103500,100500,102000,102000,3519491
2020-02-14,101500,105000,101000,104500,104500,1893163
2020-02-17,104500,106000,103500,105000,105000,1190162
2020-02-18,104000,104500,101500,102000,102000,2789667
2020-02-19,102500,103500,101000,103500,103500,2315634
2020-02-20,104500,106000,102500,104000,104000,3093782
2020-02-21,101500,103500,101000,103000,103000,4064719
2020-02-24,100500,100500,98900,99500,99500,5550758
2020-02-25,97800,99100,96400,98000,98000,6594059
2020-02-26,95500,96100,94400,94600,94600,6405409
2020-02-27,94700,95300,92200,92800,92800,4644449
2020-02-28,91000,92200,87700,87900,87900,8171939
2020-03-02,90000,93100,88300,92100,92100,6382279
2020-03-03,95000,95100,92400,92800,92800,5573006
2020-03-04,91300,95000,91300,94300,94300,4984561
2020-03-05,95200,95900,93800,94900,94900,4028776
2020-03-06,93300,94300,92000,92600,92600,3281612
2020-03-09,92600,92600,92600,92600,92600,0
2020-03-10,86900,89400,86600,89100,89100,6579153
2020-03-11,88200,88500,85100,85500,85500,5226251
2020-03-12,83800,84600,79600,82800,82800,8191818
2020-03-13,76900,84700,76000,82500,82500,8160758
2020-03-16,83700,84800,80400,80600,80600,5097762
2020-03-17,77500,83100,77000,80400,80400,7107436
2020-03-18,81600,82500,73000,73100,73100,7949482
2020-03-19,75500,75800,65800,69000,69000,11140367
2020-03-20,71800,76200,70100,74800,74800,8750101
2020-03-23,69700,71600,68000,69400,69400,8192363
2020-03-24,73000,78800,72100,78700,78700,7247345
2020-03-25,82000,84700,79800,84500,84500,8787217
2020-03-26,85000,87900,80400,80700,80700,7895289
2020-03-27,85700,85700,80500,83300,83300,8085695
2020-03-30,81000,84900,80000,83700,83700,5270037
2020-03-31,84000,85500,82000,83300,83300,5333479
2020-04-01,82100,83200,78400,78400,78400,6845675
2020-04-02,78800,80000,76500,80000,80000,5394371
2020-04-03,80000,80800,78500,79600,79600,3755301
2020-04-06,81000,83300,80200,83100,83100,5784159
2020-04-07,86600,86700,83700,85800,85800,6188649
2020-04-08,85800,86500,84500,84500,84500,3749575
2020-04-09,86200,86500,84500,85000,85000,3555538
2020-04-10,84000,84400,83000,84100,84100,3675338
2020-04-13,83200,83400,81100,81400,81400,3615318
2020-04-14,82200,83700,81200,82300,82300,3344109
2020-04-16,80600,82300,80600,81300,81300,4470072
2020-04-17,83600,85900,83200,84100,84100,6205624
2020-04-20,83900,83900,82000,82000,82000,5027876
2020-04-21,80600,82200,80200,81300,81300,5090721
2020-04-22,80600,83900,80000,83900,83900,5335787
2020-04-23,85200,85200,82000,82600,82600,6519481
2020-04-24,82000,82500,80800,81400,81400,3193144
2020-04-27,81700,83200,81200,82600,82600,3235430
2020-04-28,82500,83900,82400,83400,83400,3205535
2020-04-29,83500,84800,82900,83700,83700,3750568
2020-05-04,82900,82900,80800,81000,81000,5280026
2020-05-06,82000,82500,80900,82400,82400,3351424
2020-05-07,82400,83400,81800,82400,82400,2660512
2020-05-08,83000,85500,83000,85000,85000,5039635
2020-05-11,84500,85200,84100,84500,84500,2800047
2020-05-12,84500,86500,83200,85700,85700,3574409
2020-05-13,83500,84100,83000,83600,83600,5371416
2020-05-14,82200,82500,80600,80600,80600,6409652
2020-05-15,81500,82300,80700,81900,81900,4168866
2020-05-18,80400,81800,79200,81100,81100,5294177
2020-05-19,82400,83200,81700,82700,82700,4620614
2020-05-20,81900,84200,81800,84100,84100,3924403
2020-05-21,84900,84900,83200,83400,83400,2678953
2020-05-22,83100,83300,81000,81300,81300,3471700
2020-05-25,81500,81800,80500,81400,81400,2850294
2020-05-26,80600,82100,80600,81900,81900,3040122
2020-05-27,81100,82700,81000,81400,81400,2946278
2020-05-28,84100,85400,82400,83900,83900,9227823
2020-05-29,82600,82700,81300,81500,81500,6815185
2020-06-01,82100,83700,82100,83600,83600,4205357
2020-06-02,82700,83600,82700,83300,83300,3114162
2020-06-03,83400,89200,83400,88700,88700,11642239
2020-06-04,90000,91600,87100,87700,87700,6678244
2020-06-05,88500,90800,87700,90400,90400,4000557
2020-06-08,93000,93000,90600,91000,91000,3789382
2020-06-09,91000,92000,89100,89800,89800,3410081
2020-06-10,89800,91100,89400,90800,90800,3045250
2020-06-11,89300,90300,87500,88500,88500,5467344
2020-06-12,84500,85800,84500,85200,85200,4742329
2020-06-15,84100,86500,82000,82000,82000,4710114
2020-06-16,83400,85700,83300,85400,85400,3518785
2020-06-17,84800,87400,83500,86800,86800,4160612
2020-06-18,86100,86800,85400,86200,86200,2484147
2020-06-19,86500,87000,84500,85400,85400,3216102
2020-06-22,84400,85900,84300,84900,84900,2167216
2020-06-23,85600,86200,83900,84100,84100,2955819
2020-06-24,84200,87400,84000,86000,86000,4079834
2020-06-25,84300,85600,84000,84300,84300,3397112
2020-06-26,86000,86100,84500,84600,84600,2889494
2020-06-29,84000,85300,83500,83600,83600,2932433
2020-06-30,86200,87300,85000,85100,85100,4983607
2020-07-01,86800,87300,84900,85300,85300,2382552
2020-07-02,84800,85200,84000,84400,84400,3295340
2020-07-03,85000,85600,84500,85400,85400,2195897
2020-07-06,86000,87000,85800,86000,86000,2561766
2020-07-07,87300,87300,84600,84800,84800,3196352
2020-07-08,83800,84900,83600,83700,83700,3523620
2020-07-09,84200,84600,83000,83000,83000,4002365
2020-07-10,83300,83500,82400,82800,82800,2201557
2020-07-13,83100,83500,82500,83000,83000,2080934
2020-07-14,82600,82900,82000,82900,82900,2048671
2020-07-15,83100,83900,82900,83000,83000,3024429
2020-07-16,83000,83100,82300,82700,82700,2312310
2020-07-17,82700,83500,82600,82900,82900,1579078
2020-07-20,82800,83000,82100,82200,82200,2008624
