Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,293000,296500,282000,287000,286486.59375,638954
2020-01-31,290500,290500,275000,276000,275506.25,592428
2020-02-03,271500,284500,268000,284000,283491.9375,558416
2020-02-04,293500,309000,293000,308000,307449,939164
2020-02-05,321000,321000,310000,314000,313438.28125,784165
2020-02-06,307000,319500,304500,318500,317930.21875,628991
2020-02-07,317000,322500,314000,317000,316432.90625,650781
2020-02-10,314500,321500,312000,321500,320924.875,387188
2020-02-11,325000,351000,324000,343000,342386.40625,874870
2020-02-12,341500,343500,337000,338000,337395.34375,641943
2020-02-13,337500,342500,335000,336500,335898.03125,689961
2020-02-14,337500,340000,334000,337000,336397.125,370649
2020-02-17,338000,339000,332500,338000,337395.34375,298316
2020-02-18,336500,338000,331000,334000,333402.5,400006
2020-02-19,342500,343500,332000,334000,333402.5,472858
2020-02-20,332000,347000,330500,343500,342885.5,527965
2020-02-21,338500,348000,335000,336500,335898.03125,536065
2020-02-24,326000,329500,318500,321000,320425.75,704622
2020-02-25,317500,322500,312500,321000,320425.75,842067
2020-02-26,312500,317500,308500,312000,311441.84375,660683
2020-02-27,309000,313500,306000,309500,308946.34375,599405
2020-02-28,301500,303000,292000,295000,294472.28125,919096
2020-03-02,296500,307500,292500,304500,303955.28125,611983
2020-03-03,316500,318500,307500,308000,307449,652467
2020-03-04,304000,318000,303000,315000,314436.5,491231
2020-03-05,322500,324500,316500,323500,322921.28125,554299
2020-03-06,319500,323500,314500,316500,315933.8125,422106
2020-03-09,316500,316500,316500,316500,315933.8125,0
2020-03-10,289000,298000,286000,293500,292974.96875,901344
2020-03-11,297500,301500,287000,289000,288483,592068
2020-03-12,289000,289000,289000,289000,288483,0
2020-03-13,260000,284500,258000,277500,277003.5625,1076527
2020-03-16,280000,282500,253000,253000,252547.40625,994249
2020-03-17,242000,257000,240500,246000,245559.92188,990457
2020-03-18,246000,249000,221500,221500,221103.75,1105362
2020-03-19,227000,228000,180000,183000,182672.625,2233285
2020-03-20,197000,216500,194000,216500,216112.70313,1818258
2020-03-23,202000,233500,200500,218500,218109.125,1576624
2020-03-24,231500,252500,224500,246500,246059.03125,1668595
2020-03-25,267000,269500,249000,257500,257039.35938,1368513
2020-03-26,258500,260500,246500,248000,247556.34375,984405
