Date,Open,High,Low,Close,Volume
2000-01-01 0:00,46450,46450,45650,46100,5143554
2000-01-01 1:00,46650,46950,46600,46800,8819393
2000-01-01 2:00,46800,47300,46600,47200,9009109
2000-01-01 3:00,47350,47550,47050,47300,9061381
2000-01-01 4:00,47100,47150,46250,46400,8756522
2000-01-01 5:00,47150,47200,46600,47200,8408838
2000-01-01 6:00,46650,47150,46550,47150,7873886
2000-01-01 7:00,46800,47050,46000,46100,6856846
2000-01-01 8:00,46300,46850,46300,46550,5551014
2000-01-01 9:00,46200,46600,45000,45350,12872916
2000-01-01 10:00,44900,45500,44850,45200,7811181
2000-01-01 11:00,44550,45500,44300,44950,12151374
2000-01-01 12:00,44350,44600,43600,43950,14214086
2000-01-01 13:00,42500,43800,42500,43500,15083824
2000-01-01 14:00,43600,43900,43100,43200,10002533
2000-01-01 15:00,43250,43500,42650,42650,16926881
2000-01-01 16:00,43250,43350,43050,43150,9685147
2000-01-01 17:00,44000,44000,43550,43700,8466169
2000-01-01 18:00,43500,43500,42950,43000,7276979
2000-01-01 19:00,43900,44250,43500,43700,8750135
2000-01-01 20:00,43800,43900,43300,43900,9528115
2000-01-01 21:00,44350,44350,43500,43600,6014218
2000-01-01 22:00,43950,44600,43550,44450,8434205
2000-01-01 23:00,44350,44800,44150,44500,6571717
2000-01-02 0:00,44500,44700,43850,44050,8061177
2000-01-02 1:00,43800,44200,43650,43950,5017381
2000-01-02 2:00,43050,43800,42950,43600,7954949
2000-01-02 3:00,43650,44200,43600,44050,16883932
2000-01-02 4:00,44100,44400,43750,44150,5758333
2000-01-02 5:00,44200,44200,43050,43400,10768862
2000-01-02 6:00,43750,44300,43750,44000,9899073
2000-01-02 7:00,44850,44850,43650,43800,7185537
2000-01-02 8:00,43550,43650,43100,43250,9774941
2000-01-02 9:00,43250,44100,43150,44100,12441837
2000-01-02 10:00,44800,46100,44450,45700,18297430
2000-01-02 11:00,46500,46500,45850,46300,9896562
2000-01-02 12:00,46450,47000,46300,46900,9434157
2000-01-02 13:00,47100,47200,46550,47000,9231792
2000-01-02 14:00,47300,47400,46800,47150,16141619
2000-01-02 15:00,47000,47100,46400,47100,15550926
2000-01-02 16:00,47000,47100,46800,46900,7006280
2000-01-02 17:00,46900,47700,46800,47700,10413027
2000-01-02 18:00,48050,49200,47850,49150,16461413
2000-01-02 19:00,49400,49600,49100,49200,15460210
2000-01-02 20:00,49250,49300,49000,49300,7568553
2000-01-02 21:00,49050,49650,48850,49500,7871955
2000-01-02 22:00,49200,49350,48800,48900,9187141
2000-01-02 23:00,49000,49250,48900,49200,8494756
2000-01-03 0:00,48000,48700,48000,48400,8048041
2000-01-03 1:00,48050,49250,47900,49050,9497119
2000-01-03 2:00,48900,49100,48650,48850,6206035
2000-01-03 3:00,48350,48400,47600,47600,8382463
2000-01-03 4:00,47400,48650,47350,48000,9331695
2000-01-03 5:00,48350,48700,47650,47750,7047273
2000-01-03 6:00,47900,49000,47600,48900,14239367
2000-01-03 7:00,48200,49200,48000,48550,18639855
2000-01-03 8:00,49000,49450,48800,49150,7783275
2000-01-03 9:00,50000,50300,49850,50000,11130635
2000-01-03 10:00,49900,50200,49900,50100,6058105
2000-01-03 11:00,50700,50900,50400,50700,9136282
2000-01-03 12:00,50500,50600,50100,50500,6701380
2000-01-03 13:00,50300,50900,49650,49900,8483106
2000-01-03 14:00,49900,50400,49800,50300,4406531
2000-01-03 15:00,50800,51500,50700,51200,10898729
2000-01-03 16:00,51300,51500,50800,51200,8663880
2000-01-03 17:00,52500,52500,50500,50700,21185785
2000-01-03 18:00,50800,51200,50500,50900,7879897
2000-01-03 19:00,50700,51500,50700,51300,6431522
2000-01-03 20:00,51400,51700,50800,51100,7581629
2000-01-03 21:00,50700,50800,50200,50400,8959435
2000-01-03 22:00,51000,51400,50300,50400,10304777
2000-01-03 23:00,50600,51200,50400,51200,8467846
2000-01-04 0:00,51700,52300,51400,52300,13012411
2000-01-04 1:00,52400,52700,52100,52700,10581034
2000-01-04 2:00,52900,53500,52700,53300,14361133
2000-01-04 3:00,53400,53400,52400,52900,9257116
2000-01-04 4:00,53200,53300,52000,52100,11603290
2000-01-04 5:00,52200,52200,51400,51600,8185952
2000-01-04 6:00,51800,52600,51600,52600,6576148
2000-01-04 7:00,52500,52500,52000,52500,6225196
2000-01-04 8:00,51900,52800,51900,52800,12010018
2000-01-04 9:00,52900,53700,52600,53700,9703360
2000-01-04 10:00,53600,53800,53200,53500,7746554
2000-01-04 11:00,53200,53500,52700,53500,8907177
2000-01-04 12:00,53400,53400,52000,52000,12560070
2000-01-04 13:00,51600,52100,50600,51000,14298646
2000-01-04 14:00,51000,51600,50900,51600,8478310
2000-01-04 15:00,52200,52600,51700,51800,9050625
2000-01-04 16:00,51900,52900,51800,51800,27372226
2000-01-04 17:00,51800,52300,51600,52200,7546261
2000-01-04 18:00,51900,52100,51300,51300,6833885
2000-01-04 19:00,51200,51400,50200,50300,11179334
2000-01-04 20:00,50900,51300,50400,50400,18877252
2000-01-04 21:00,49800,50300,49500,49900,12059812
2000-01-04 22:00,49600,49850,49000,49450,13246549
2000-01-04 23:00,50200,50400,49500,49500,10449715
2000-01-05 0:00,50100,50900,49950,50400,11414563
2000-01-05 1:00,50900,51400,50700,51200,8470627
2000-01-05 2:00,51000,51600,50700,51500,6882771
2000-01-05 3:00,51500,52200,51400,51900,11379521
2000-01-05 4:00,53000,53300,52700,53300,29178697
2000-01-05 5:00,54500,54800,53900,54700,18120261
2000-01-05 6:00,54500,54900,54300,54700,11512405
2000-01-05 7:00,55800,56700,55400,56700,19358433
2000-01-05 8:00,56700,57200,56000,56300,15558208
2000-01-05 9:00,57000,57300,55500,56000,14180520
2000-01-05 10:00,56100,56500,55600,56000,12095519
2000-01-05 11:00,56100,56400,55100,55500,9839252
2000-01-05 12:00,55600,55700,54800,55000,11868463
2000-01-05 13:00,54700,55400,54400,55400,9645034
2000-01-05 14:00,55700,56900,55500,56500,12313056
2000-01-05 15:00,56200,56600,55700,55800,8356767
2000-01-05 16:00,55500,56000,55000,55200,12993228
2000-01-05 17:00,56000,56600,54900,55500,15422255
2000-01-05 18:00,54900,55600,54600,55500,10278951
2000-01-05 19:00,55700,56400,55600,55800,10009778
2000-01-05 20:00,56200,57400,55900,56800,23501171
2000-01-05 21:00,58400,58600,57400,58600,24102579
2000-01-05 22:00,58800,59700,58300,59500,16000170
2000-01-05 23:00,59600,60000,59100,60000,11359139
2000-01-06 0:00,60400,61000,59900,60000,16906295
2000-01-06 1:00,59500,59600,58900,59000,14300928
2000-01-06 2:00,59100,60700,59000,60700,14381774
2000-01-06 3:00,61900,62000,61000,61300,16025661
2000-01-06 4:00,62000,62800,61700,62400,12528855
2000-01-06 5:00,62000,62400,61200,61400,11142693
2000-01-06 6:00,60500,62600,60400,62300,15339565
2000-01-06 7:00,61800,61800,60700,60800,14916555
2000-01-06 8:00,59400,59400,58300,58800,23664541
2000-01-06 9:00,59100,59700,58800,59100,16446102
2000-01-06 10:00,58800,58800,56800,57200,20821939
2000-01-06 11:00,57800,58400,56400,56400,19749457
2000-01-06 12:00,55500,57400,55200,57200,23995260
