,Date,Open,High,Low,Close,Volume
0,2019-07-31 00:00-00,46200,46600,45000,45350,12872916
1,2019-07-31 01:00-00,46200,46600,45000,45350,12872916
2,2019-07-31 02:00-00,46200,46600,45000,45350,12872916
3,2019-07-31 03:00-00,46200,46600,45000,45350,12872916
4,2019-07-31 04:00-00,46200,46600,45000,45350,12872916
5,2019-07-31 05:00-00,46200,46600,45000,45350,12872916
6,2019-07-31 06:00-00,46200,46600,45000,45350,12872916
7,2019-07-31 07:00-00,46200,46600,45000,45350,12872916
8,2019-07-31 08:00-00,46200,46600,45000,45350,12872916
9,2019-07-31 09:00-00,46200,46600,45000,45350,12872916
10,2019-07-31 10:00-00,46200,46600,45000,45350,12872916
11,2019-07-31 11:00-00,46200,46600,45000,45350,12872916
12,2019-07-31 12:00-00,46200,46600,45000,45350,12872916
13,2019-07-31 13:00-00,46200,46600,45000,45350,12872916
14,2019-07-31 14:00-00,46200,46600,45000,45350,12872916
15,2019-07-31 15:00-00,46200,46600,45000,45350,12872916
16,2019-07-31 16:00-00,46200,46600,45000,45350,12872916
17,2019-07-31 17:00-00,46200,46600,45000,45350,12872916
18,2019-07-31 18:00-00,46200,46600,45000,45350,12872916
19,2019-07-31 19:00-00,46200,46600,45000,45350,12872916
20,2019-07-31 20:00-00,46200,46600,45000,45350,12872916
21,2019-07-31 21:00-00,46200,46600,45000,45350,12872916
22,2019-07-31 22:00-00,46200,46600,45000,45350,12872916
23,2019-07-31 23:00-00,46200,46600,45000,45350,12872916
24,2019-08-01 00:00-00,46200,46600,45000,45350,12872916
25,2019-08-01 01:00-00,46200,46600,45000,45350,12872916
26,2019-08-01 02:00-00,46200,46600,45000,45350,12872916
27,2019-08-01 03:00-00,46200,46600,45000,45350,12872916
28,2019-08-01 04:00-00,46200,46600,45000,45350,12872916
29,2019-08-01 05:00-00,46200,46600,45000,45350,12872916
30,2019-08-01 06:00-00,46200,46600,45000,45350,12872916
31,2019-08-01 07:00-00,46200,46600,45000,45350,12872916
32,2019-08-01 08:00-00,46200,46600,45000,45350,12872916
33,2019-08-01 09:00-00,46200,46600,45000,45350,12872916
34,2019-08-01 10:00-00,46200,46600,45000,45350,12872916
35,2019-08-01 11:00-00,46200,46600,45000,45350,12872916
36,2019-08-01 12:00-00,46200,46600,45000,45350,12872916
37,2019-08-01 13:00-00,46200,46600,45000,45350,12872916
38,2019-08-01 14:00-00,46200,46600,45000,45350,12872916
39,2019-08-01 15:00-00,46200,46600,45000,45350,12872916
40,2019-08-01 16:00-00,46200,46600,45000,45350,12872916
41,2019-08-01 17:00-00,46200,46600,45000,45350,12872916
42,2019-08-01 18:00-00,46200,46600,45000,45350,12872916
43,2019-08-01 19:00-00,46200,46600,45000,45350,12872916
44,2019-08-01 20:00-00,46200,46600,45000,45350,12872916
45,2019-08-01 21:00-00,46200,46600,45000,45350,12872916
46,2019-08-01 22:00-00,46200,46600,45000,45350,12872916
47,2019-08-01 23:00-00,46200,46600,45000,45350,12872916
48,2019-08-02 00:00-00,46200,46600,45000,45350,12872916
49,2019-08-02 01:00-00,46200,46600,45000,45350,12872916
50,2019-08-02 02:00-00,46200,46600,45000,45350,12872916
51,2019-08-02 03:00-00,46200,46600,45000,45350,12872916
52,2019-08-02 04:00-00,46200,46600,45000,45350,12872916
53,2019-08-02 05:00-00,46200,46600,45000,45350,12872916
54,2019-08-02 06:00-00,46200,46600,45000,45350,12872916
55,2019-08-02 07:00-00,46200,46600,45000,45350,12872916
56,2019-08-02 08:00-00,46200,46600,45000,45350,12872916
57,2019-08-02 09:00-00,46200,46600,45000,45350,12872916
58,2019-08-02 10:00-00,46200,46600,45000,45350,12872916
59,2019-08-02 11:00-00,46200,46600,45000,45350,12872916
60,2019-08-02 12:00-00,46200,46600,45000,45350,12872916
61,2019-08-02 13:00-00,46200,46600,45000,45350,12872916
62,2019-08-02 14:00-00,46200,46600,45000,45350,12872916
63,2019-08-02 15:00-00,46200,46600,45000,45350,12872916
64,2019-08-02 16:00-00,46200,46600,45000,45350,12872916
65,2019-08-02 17:00-00,46200,46600,45000,45350,12872916
66,2019-08-02 18:00-00,46200,46600,45000,45350,12872916
67,2019-08-02 19:00-00,46200,46600,45000,45350,12872916
68,2019-08-02 20:00-00,46200,46600,45000,45350,12872916
69,2019-08-02 21:00-00,46200,46600,45000,45350,12872916
70,2019-08-02 22:00-00,46200,46600,45000,45350,12872916
71,2019-08-02 23:00-00,46200,46600,45000,45350,12872916
72,2019-08-03 00:00-00,46200,46600,45000,45350,12872916
73,2019-08-03 01:00-00,46200,46600,45000,45350,12872916
74,2019-08-03 02:00-00,46200,46600,45000,45350,12872916
75,2019-08-03 03:00-00,46200,46600,45000,45350,12872916
76,2019-08-03 04:00-00,46200,46600,45000,45350,12872916
77,2019-08-03 05:00-00,46200,46600,45000,45350,12872916
78,2019-08-03 06:00-00,46200,46600,45000,45350,12872916
79,2019-08-03 07:00-00,46200,46600,45000,45350,12872916
80,2019-08-03 08:00-00,46200,46600,45000,45350,12872916
81,2019-08-03 09:00-00,46200,46600,45000,45350,12872916
82,2019-08-03 10:00-00,46200,46600,45000,45350,12872916
83,2019-08-03 11:00-00,46200,46600,45000,45350,12872916
84,2019-08-03 12:00-00,46200,46600,45000,45350,12872916
85,2019-08-03 13:00-00,46200,46600,45000,45350,12872916
86,2019-08-03 14:00-00,46200,46600,45000,45350,12872916
87,2019-08-03 15:00-00,46200,46600,45000,45350,12872916
88,2019-08-03 16:00-00,46200,46600,45000,45350,12872916
89,2019-08-03 17:00-00,46200,46600,45000,45350,12872916
90,2019-08-03 18:00-00,46200,46600,45000,45350,12872916
91,2019-08-03 19:00-00,46200,46600,45000,45350,12872916
92,2019-08-03 20:00-00,46200,46600,45000,45350,12872916
93,2019-08-03 21:00-00,46200,46600,45000,45350,12872916
94,2019-08-03 22:00-00,46200,46600,45000,45350,12872916
95,2019-08-03 23:00-00,46200,46600,45000,45350,12872916
96,2019-08-04 00:00-00,46200,46600,45000,45350,12872916
97,2019-08-04 01:00-00,46200,46600,45000,45350,12872916
98,2019-08-04 02:00-00,46200,46600,45000,45350,12872916
99,2019-08-04 03:00-00,46200,46600,45000,45350,12872916
100,2019-08-04 04:00-00,46200,46600,45000,45350,12872916
101,2019-08-04 05:00-00,46200,46600,45000,45350,12872916
102,2019-08-04 06:00-00,46200,46600,45000,45350,12872916
103,2019-08-04 07:00-00,46200,46600,45000,45350,12872916
104,2019-08-04 08:00-00,46200,46600,45000,45350,12872916
105,2019-08-04 09:00-00,46200,46600,45000,45350,12872916
106,2019-08-04 10:00-00,46200,46600,45000,45350,12872916
107,2019-08-04 11:00-00,46200,46600,45000,45350,12872916
108,2019-08-04 12:00-00,46200,46600,45000,45350,12872916
109,2019-08-04 13:00-00,46200,46600,45000,45350,12872916
110,2019-08-04 14:00-00,46200,46600,45000,45350,12872916
111,2019-08-04 15:00-00,46200,46600,45000,45350,12872916
112,2019-08-04 16:00-00,46200,46600,45000,45350,12872916
113,2019-08-04 17:00-00,46200,46600,45000,45350,12872916
114,2019-08-04 18:00-00,46200,46600,45000,45350,12872916
115,2019-08-04 19:00-00,46200,46600,45000,45350,12872916
116,2019-08-04 20:00-00,46200,46600,45000,45350,12872916
117,2019-08-04 21:00-00,46200,46600,45000,45350,12872916
118,2019-08-04 22:00-00,46200,46600,45000,45350,12872916
119,2019-08-04 23:00-00,46200,46600,45000,45350,12872916
120,2019-08-05 00:00-00,46200,46600,45000,45350,12872916
121,2019-08-05 01:00-00,46200,46600,45000,45350,12872916
122,2019-08-05 02:00-00,46200,46600,45000,45350,12872916
123,2019-08-05 03:00-00,46200,46600,45000,45350,12872916
124,2019-08-05 04:00-00,46200,46600,45000,45350,12872916
125,2019-08-05 05:00-00,46200,46600,45000,45350,12872916
126,2019-08-05 06:00-00,46200,46600,45000,45350,12872916
127,2019-08-05 07:00-00,46200,46600,45000,45350,12872916
128,2019-08-05 08:00-00,46200,46600,45000,45350,12872916
129,2019-08-05 09:00-00,46200,46600,45000,45350,12872916
130,2019-08-05 10:00-00,46200,46600,45000,45350,12872916
131,2019-08-05 11:00-00,46200,46600,45000,45350,12872916
132,2019-08-05 12:00-00,46200,46600,45000,45350,12872916
133,2019-08-05 13:00-00,46200,46600,45000,45350,12872916
134,2019-08-05 14:00-00,46200,46600,45000,45350,12872916
135,2019-08-05 15:00-00,46200,46600,45000,45350,12872916
136,2019-08-05 16:00-00,46200,46600,45000,45350,12872916
137,2019-08-05 17:00-00,46200,46600,45000,45350,12872916
138,2019-08-05 18:00-00,46200,46600,45000,45350,12872916
139,2019-08-05 19:00-00,46200,46600,45000,45350,12872916
140,2019-08-05 20:00-00,46200,46600,45000,45350,12872916
141,2019-08-05 21:00-00,46200,46600,45000,45350,12872916
142,2019-08-05 22:00-00,46200,46600,45000,45350,12872916
143,2019-08-05 23:00-00,46200,46600,45000,45350,12872916
144,2019-08-06 00:00-00,46200,46600,45000,45350,12872916
145,2019-08-06 01:00-00,46200,46600,45000,45350,12872916
146,2019-08-06 02:00-00,46200,46600,45000,45350,12872916
147,2019-08-06 03:00-00,46200,46600,45000,45350,12872916
148,2019-08-06 04:00-00,46200,46600,45000,45350,12872916
149,2019-08-06 05:00-00,46200,46600,45000,45350,12872916
150,2019-08-06 06:00-00,46200,46600,45000,45350,12872916
151,2019-08-06 07:00-00,46200,46600,45000,45350,12872916
152,2019-08-06 08:00-00,46200,46600,45000,45350,12872916
153,2019-08-06 09:00-00,46200,46600,45000,45350,12872916
154,2019-08-06 10:00-00,46200,46600,45000,45350,12872916
155,2019-08-06 11:00-00,46200,46600,45000,45350,12872916
