date,HUFL,HULL,MUFL,MULL,OT
2016-07-01 0:00,5.8270001411,2.0090000629,1.5989999771,0.4620000124,30.531000137
2016-07-01 1:00,5.6929998398,2.0759999752,1.4919999838,0.42599999905,27.787000656
2016-07-01 2:00,5.1570000648,1.7410000563,1.2790000439,0.35499998927,27.787000656
2016-07-01 3:00,5.0900001526,1.9420000315,1.2790000439,0.39100000262,25.044000626
2016-07-01 4:00,5.3579998016,1.9420000315,1.4919999838,0.4620000124,21.947999954
2016-07-01 5:00,5.6259999275,2.1429998875,1.5279999971,0.53299999237,21.173999786
2016-07-01 6:00,7.1669998169,2.9470000267,2.1319999695,0.78200000525,22.791999817
2016-07-01 7:00,7.4349999428,3.2820000648,2.3099999428,1.0310000181,23.1439991
2016-07-01 8:00,5.5590000153,3.013999939,2.4519999027,1.1729999781,21.666999817
2016-07-01 9:00,4.5549998283,2.5450000763,1.9190000296,0.81699997187,17.445999146
2016-07-01 10:00,4.9569997787,2.5450000763,1.9900000095,0.85299998522,19.979000092
2016-07-01 11:00,5.7600002289,2.5450000763,2.2030000687,0.85299998522,20.118999481
2016-07-01 12:00,4.6890001297,2.5450000763,1.8120000362,0.85299998522,19.204999924
2016-07-01 13:00,4.6890001297,2.6789999008,1.7769999504,1.243999958,18.572000504
2016-07-01 14:00,5.0900001526,2.9470000267,2.4519999027,1.3500000238,19.555999756
2016-07-01 15:00,5.0900001526,3.1480000019,2.4869999886,1.3500000238,17.305000305
2016-07-01 16:00,4.2199997902,2.4110000134,1.7059999704,0.78200000525,19.486000061
2016-07-01 17:00,4.756000042,2.3440001011,1.6349999905,0.71100002527,19.134000778
2016-07-01 18:00,5.6259999275,2.8800001144,2.5230000019,1.2079999447,20.681999207
2016-07-01 19:00,5.492000103,3.013999939,2.4519999027,1.2079999447,18.711999893
2016-07-01 20:00,5.3579998016,3.013999939,2.4519999027,1.2079999447,17.868000031
2016-07-01 21:00,5.0900001526,2.9470000267,2.381000042,1.2079999447,18.009000778
2016-07-01 22:00,4.8229999542,2.9470000267,2.2030000687,1.1729999781,18.009000778
2016-07-01 23:00,4.6220002174,2.8800001144,2.1319999695,1.1369999647,19.767999649
2016-07-02 0:00,5.2239999771,3.0810000896,2.7009999752,1.3150000572,21.104000092
2016-07-02 1:00,5.1570000648,3.013999939,2.878000021,1.3500000238,19.697000504
2016-07-02 2:00,5.1570000648,3.1480000019,2.878000021,1.4919999838,20.048999786
2016-07-02 3:00,5.1570000648,3.0810000896,2.9140000343,1.4919999838,20.752000809
2016-07-02 4:00,4.5549998283,3.0810000896,2.4519999027,1.4919999838,21.385000229
2016-07-02 5:00,5.4250001907,3.2820000648,3.0920000076,1.7059999704,22.229999542
2016-07-02 6:00,5.492000103,3.2820000648,2.5230000019,1.4919999838,20.260000229
2016-07-02 7:00,5.6259999275,3.2149999142,2.4869999886,1.4919999838,21.104000092
2016-07-02 8:00,5.5590000153,3.2820000648,2.5940001011,1.6699999571,20.611999512
2016-07-02 9:00,5.2239999771,3.2149999142,2.5590000153,1.5640000105,18.361000061
2016-07-02 10:00,9.9130001068,4.9569997787,6.6449999809,3.3050000668,20.962999344
2016-07-02 11:00,11.788000107,5.4250001907,8.1730003357,2.5230000019,19.416000366
2016-07-02 12:00,9.6450004578,4.9569997787,6.751999855,2.1319999695,20.822999954
2016-07-02 13:00,10.381999969,5.7600002289,7.4619998932,2.5590000153,20.190000534
2016-07-02 14:00,8.7740001678,4.6890001297,6.1119999886,2.0250000954,21.315000534
2016-07-02 15:00,10.449000359,5.1570000648,6.9650001526,2.4519999027,22.0189991
2016-07-02 16:00,9.8459997177,4.8229999542,7.0359997749,2.6649999619,20.681999207
2016-07-02 17:00,9.9130001068,4.8229999542,6.8940000534,2.4159998894,25.465999603
2016-07-02 18:00,10.649999619,4.6890001297,6.9289999008,2.4519999027,25.888000488
2016-07-02 19:00,10.11400032,4.3540000916,6.6449999809,1.8120000362,27.857000351
2016-07-02 20:00,9.9799995422,4.1529998779,6.5739998817,1.9539999962,27.295000076
2016-07-02 21:00,9.3100004196,4.2199997902,6.0050001144,2.1319999695,22.229999542
2016-07-02 22:00,9.4440002441,4.6220002174,6.9650001526,2.1679999828,21.947999954
2016-07-02 23:00,9.4440002441,4.2870001793,6.8229999542,2.5590000153,27.295000076
2016-07-03 0:00,10.381999969,5.4250001907,7.6040000916,2.3099999428,29.334999084
2016-07-03 1:00,9.7790002823,5.2239999771,6.7160000801,2.8429999352,26.027999878
2016-07-03 2:00,10.381999969,4.6890001297,7.3200001717,2.2030000687,24.340000153
2016-07-03 3:00,9.7790002823,4.1529998779,6.8229999542,1.9900000095,26.450000763
2016-07-03 4:00,10.717000008,4.756000042,7.3559999466,2.8069999218,25.958000183
2016-07-03 5:00,10.31499958,4.6890001297,7.390999794,2.4519999027,24.059000015
2016-07-03 6:00,12.592000008,5.2239999771,8.670999527,2.2030000687,25.325000763
2016-07-03 7:00,11.119000435,4.6220002174,7.888999939,2.8429999352,23.63699913
2016-07-03 8:00,10.649999619,4.4210000038,7.0359997749,2.0250000954,26.379999161
2016-07-03 9:00,10.046999931,4.2199997902,6.4320001602,1.6699999571,27.364999771
2016-07-03 10:00,11.720999718,5.0900001526,7.888999939,2.5590000153,28.068000793
