Date,Open,High,Low,Close,Volume
2019-07-18 9:15,46450,46450,46000,46050,745191
2019-07-18 9:30,46050,46100,45950,45950,105513
2019-07-18 9:45,46000,46050,45950,46050,79809
2019-07-18 10:00,46000,46100,45950,46000,170314
2019-07-18 10:15,45950,46000,45650,45750,305684
2019-07-18 10:30,45750,46050,45700,46050,163990
2019-07-18 10:45,46000,46150,45900,46000,167591
2019-07-18 11:00,45950,46000,45800,45800,127978
2019-07-18 11:15,45850,45850,45700,45800,131997
2019-07-18 11:30,45850,45850,45650,45750,164955
2019-07-18 11:45,45750,45950,45700,45900,147391
2019-07-18 12:00,45850,46000,45850,46000,71640
2019-07-18 12:15,45950,46000,45900,46000,125124
2019-07-18 12:30,46000,46000,45950,46000,49291
2019-07-18 12:45,45950,46000,45900,45950,81830
2019-07-18 13:00,46000,46000,45900,45900,68925
2019-07-18 13:15,45900,45950,45900,45900,55145
2019-07-18 13:30,45950,46050,45900,46000,229008
2019-07-18 13:45,46000,46150,46000,46100,145796
2019-07-18 14:00,46100,46200,46100,46150,129162
2019-07-18 14:15,46200,46200,46100,46150,169630
2019-07-18 14:30,46200,46200,46100,46200,218930
2019-07-18 14:45,46150,46200,46000,46150,253630
2019-07-18 15:00,46150,46150,46000,46050,224882
2019-07-18 15:15,46050,46100,46050,46100,181144
2019-07-18 15:30,46100,46100,46000,46100,639598
2019-07-19 9:15,46650,46850,46600,46800,893862
2019-07-19 9:30,46750,46800,46650,46700,236508
2019-07-19 9:45,46650,46800,46650,46650,421948
2019-07-19 10:00,46650,46750,46650,46750,123035
2019-07-19 10:15,46700,46750,46700,46700,84942
2019-07-19 10:30,46700,46750,46650,46650,186104
2019-07-19 10:45,46700,46750,46650,46700,253896
2019-07-19 11:00,46750,46800,46700,46800,394584
2019-07-19 11:15,46800,46900,46750,46850,629718
2019-07-19 11:30,46850,46900,46750,46750,319132
2019-07-19 11:45,46800,46850,46750,46800,127620
2019-07-19 12:00,46850,46900,46800,46850,273487
2019-07-19 12:15,46800,46900,46800,46800,186930
2019-07-19 12:30,46850,46850,46800,46800,93194
2019-07-19 12:45,46800,46900,46800,46850,220447
2019-07-19 13:00,46850,46900,46800,46850,174265
2019-07-19 13:15,46800,46900,46800,46900,223523
2019-07-19 13:30,46900,46900,46850,46850,145912
2019-07-19 13:45,46850,46900,46850,46850,174872
2019-07-19 14:00,46850,46950,46850,46900,528572
2019-07-19 14:15,46950,46950,46900,46900,149179
2019-07-19 14:30,46950,46950,46900,46900,179700
2019-07-19 14:45,46950,46950,46900,46900,268575
2019-07-19 15:00,46900,46950,46850,46900,380278
2019-07-19 15:15,46850,46900,46850,46900,294518
2019-07-19 15:30,46850,46900,46800,46800,1010551
2019-07-22 9:15,46800,47000,46600,46950,1169598
2019-07-22 9:30,46950,47000,46950,47000,239193
2019-07-22 9:45,47000,47250,46950,47250,919996
2019-07-22 10:00,47250,47300,47200,47300,431998
2019-07-22 10:15,47300,47300,47250,47250,420816
2019-07-22 10:30,47250,47300,47050,47100,272523
2019-07-22 10:45,47100,47150,47000,47050,310333
2019-07-22 11:00,47100,47100,46950,47050,408609
2019-07-22 11:15,47050,47200,47000,47200,287651
2019-07-22 11:30,47200,47200,47150,47150,80065
2019-07-22 11:45,47200,47200,47100,47150,186582
2019-07-22 12:00,47100,47150,47050,47100,280495
2019-07-22 12:15,47100,47150,47050,47100,194085
2019-07-22 12:30,47150,47150,47100,47100,221013
2019-07-22 12:45,47150,47150,47100,47100,91396
